date,event_id,event_class,pilot,placement,swiss_points
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,gazmon48,1,18
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,McWinSauce,2,18
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Tetsubou,3,18
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Martin_Dominguez,4,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,MdvWin,5,18
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Rvng,6,18
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,MisterTwin,7,18
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Johnny_Hobbs,8,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,msmayer,9,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,SoulStrong,10,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,GyaraMos6812,11,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Xsper,12,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,klien7,13,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,moon11,14,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,golden_knights,15,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,r0cknati0n,16,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,TheWitchKling,17,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Rashek,18,15
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,EightFinity,19,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Goomy_,20,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,sgcyrus,21,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Porks,22,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,xfile,23,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,powered_by_VANYA,24,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,AFX,25,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,_foobar,26,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,nahuel10,27,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,KingOfGames1522,28,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,MeninooNey,29,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,chase00111,30,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,Jumba,31,12
2026-05-19,modern-challenge-64-2026-05-1912842532,challenge-64,FulmineVeloce,32,12
2026-05-19,modern-league-2026-05-1910628,league,-Datrevdo,,
2026-05-19,modern-league-2026-05-1910628,league,AUTJohnny,,
2026-05-19,modern-league-2026-05-1910628,league,AlexaYan,,
2026-05-19,modern-league-2026-05-1910628,league,AllanonCEW,,
2026-05-19,modern-league-2026-05-1910628,league,AnibalMTG,,
2026-05-19,modern-league-2026-05-1910628,league,Arcbound_Papi,,
2026-05-19,modern-league-2026-05-1910628,league,BigDadChad,,
2026-05-19,modern-league-2026-05-1910628,league,Bmadman,,
2026-05-19,modern-league-2026-05-1910628,league,Bob49,,
2026-05-19,modern-league-2026-05-1910628,league,Bring_back_affinity,,
2026-05-19,modern-league-2026-05-1910628,league,Cagalli123,,
2026-05-19,modern-league-2026-05-1910628,league,Corkyboyy,,
2026-05-19,modern-league-2026-05-1910628,league,Curryvore,,
2026-05-19,modern-league-2026-05-1910628,league,DB_MasonClark,,
2026-05-19,modern-league-2026-05-1910628,league,Delap91,,
2026-05-19,modern-league-2026-05-1910628,league,Do0mSwitch,,
2026-05-19,modern-league-2026-05-1910628,league,FulmineVeloce,,
2026-05-19,modern-league-2026-05-1910628,league,Giovane_Lupo,,
2026-05-19,modern-league-2026-05-1910628,league,Golgarburr,,
2026-05-19,modern-league-2026-05-1910628,league,Grafec,,
2026-05-19,modern-league-2026-05-1910628,league,Greenbeing,,
2026-05-19,modern-league-2026-05-1910628,league,GrowingPaynes,,
2026-05-19,modern-league-2026-05-1910628,league,HDG_BorisE,,
2026-05-19,modern-league-2026-05-1910628,league,HelpfulHobo,,
2026-05-19,modern-league-2026-05-1910628,league,Jrcitizen,,
2026-05-19,modern-league-2026-05-1910628,league,Junkmener,,
