start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,121,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,main,Boomerang Basics,"Boomerang Basics appears for the first time, 2 of 124 lists (2%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,side,Boomerang Basics,"Boomerang Basics appears for the first time, 3 of 124 lists (2%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,adoption,side,Damping Sphere,"Damping Sphere climbed in the sideboard, 87/121 to 115/124 lists (72% to 93%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,side,Gleeful Demolition,"Gleeful Demolition appears for the first time, 5 of 124 lists (4%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,main,Lavaspur Boots,"Lavaspur Boots appears for the first time, 2 of 124 lists (2%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,main,Mox Amber,"Mox Amber appears for the first time, 2 of 124 lists (2%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,main,"Otawara, Soaring City","Otawara, Soaring City appears for the first time, 3 of 124 lists (2%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,side,Portable Hole,"Portable Hole moves to the sideboard, 4 of 124 lists (3%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,main,Sacred Foundry,"Sacred Foundry appears for the first time, 4 of 124 lists (3%)"
2026-06-01,2026-06-14,124,the fortnight to 2026-05-31,return,side,The Stone Brain,"The Stone Brain appears for the first time, 5 of 124 lists (4%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,adoption,side,Blood Moon,"Blood Moon climbed in the sideboard, 61/124 to 110/148 lists (49% to 74%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,return,main,Castle Doom,"Castle Doom appears for the first time, 6 of 148 lists (4%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,return,main,Experimental Synthesizer,"Experimental Synthesizer appears for the first time, 4 of 148 lists (3%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,adoption,side,Force of Negation,"Force of Negation fell in the sideboard, 57/124 to 34/148 lists (46% to 23%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,adoption,side,Hurkyl's Recall,"Hurkyl's Recall climbed in the sideboard, 22/124 to 79/148 lists (18% to 53%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,return,main,"Loki, God of Mischief","Loki, God of Mischief appears for the first time, 6 of 148 lists (4%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,return,main,Mountain,"Mountain appears for the first time, 3 of 148 lists (2%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,return,main,Relic of Progenitus,"Relic of Progenitus appears for the first time, 4 of 148 lists (3%)"
2026-06-15,2026-06-28,148,the fortnight to 2026-06-14,return,side,Twinshot Sniper,"Twinshot Sniper appears for the first time, 4 of 148 lists (3%)"
2026-06-29,2026-07-12,129,the fortnight to 2026-06-28,return,side,Curse of Shaken Faith,"Curse of Shaken Faith appears for the first time, 4 of 129 lists (3%)"
2026-07-13,2026-07-26,79,Pro Tour Amsterdam,adoption,side,Swan Song,"Swan Song fell in the sideboard, 27/45 to 31/79 lists (60% to 39%)"
2026-07-13,2026-07-26,79,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,61,the fortnight to 2026-07-26,adoption,side,Hurkyl's Recall,"Hurkyl's Recall fell in the sideboard, 37/79 to 9/61 lists (47% to 15%)"
2026-07-27,2026-08-09,61,the fortnight to 2026-07-26,copies,main,Welding Jar,Welding Jar up from 1.4 to 1.9 copies on average
2026-08-10,2026-08-23,64,the fortnight to 2026-08-09,return,side,Cursed Totem,"Cursed Totem returns after 10 weeks away, 12 of 64 lists (19%)"
2026-08-10,2026-08-23,64,the fortnight to 2026-08-09,adoption,side,Grafdigger's Cage,"Grafdigger's Cage climbed in the sideboard, 5/61 to 36/64 lists (8% to 56%)"
2026-08-10,2026-08-23,64,the fortnight to 2026-08-09,adoption,main,Sink into Stupor,"Sink into Stupor climbed in the mainboard, 35/61 to 50/64 lists (57% to 78%)"
2026-08-10,2026-08-23,64,the fortnight to 2026-08-09,return,main,Thundering Falls,"Thundering Falls appears for the first time, 2 of 64 lists (3%)"
2026-08-24,2026-09-06,72,Spotlight Dallas,adoption,main,Arcbound Ravager,"Arcbound Ravager fell in the mainboard, 24/45 to 24/72 lists (53% to 33%)"
2026-08-24,2026-09-06,72,Spotlight Dallas,adoption,side,Grafdigger's Cage,"Grafdigger's Cage fell in the sideboard, 33/45 to 33/72 lists (73% to 46%)"
2026-08-24,2026-09-06,72,Spotlight Dallas,adoption,side,Mystical Dispute,"Mystical Dispute fell in the sideboard, 33/45 to 36/72 lists (73% to 50%)"
2026-08-24,2026-09-06,72,Spotlight Dallas,event,,,Spotlight Brisbane
2026-08-24,2026-09-06,72,Spotlight Dallas,event,,,Spotlight Dallas
