week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,48,21,288,0.07291666666666667,8,72,0.1111111111111111,15,27,434,0.06221198156682028
2026-05-25,73,31,352,0.08806818181818182,5,88,0.056818181818181816,17,42,479,0.08768267223382047
2026-06-01,65,22,384,0.057291666666666664,5,96,0.052083333333333336,9,43,511,0.08414872798434442
2026-06-08,59,26,384,0.06770833333333333,9,96,0.09375,16,33,484,0.06818181818181818
2026-06-15,71,29,352,0.08238636363636363,6,88,0.06818181818181818,15,42,462,0.09090909090909091
2026-06-22,77,34,384,0.08854166666666667,10,96,0.10416666666666667,17,43,393,0.10941475826972011
2026-06-29,61,30,352,0.08522727272727272,7,88,0.07954545454545454,14,31,428,0.07242990654205607
2026-07-06,68,32,416,0.07692307692307693,8,104,0.07692307692307693,13,36,418,0.0861244019138756
2026-07-13,44,24,448,0.05357142857142857,6,112,0.05357142857142857,15,20,410,0.04878048780487805
2026-07-20,35,14,512,0.02734375,3,128,0.0234375,7,21,393,0.05343511450381679
2026-07-27,29,11,384,0.028645833333333332,0,96,0.0,5,18,439,0.04100227790432802
2026-08-03,32,15,352,0.04261363636363636,5,88,0.056818181818181816,7,17,380,0.04473684210526316
2026-08-10,33,16,416,0.038461538461538464,1,104,0.009615384615384616,6,17,404,0.04207920792079208
2026-08-17,31,16,384,0.041666666666666664,5,96,0.052083333333333336,7,15,386,0.038860103626943004
2026-08-24,37,19,480,0.03958333333333333,3,120,0.025,10,18,379,0.047493403693931395
2026-08-31,35,15,448,0.033482142857142856,3,112,0.026785714285714284,8,20,378,0.05291005291005291
