start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,31,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,return,side,Cling to Dust,"Cling to Dust appears for the first time, 4 of 60 lists (7%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,return,side,Deafening Silence,"Deafening Silence appears for the first time, 4 of 60 lists (7%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,return,main,Emeritus of Ideation,"Emeritus of Ideation appears for the first time, 4 of 60 lists (7%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,return,main,Erode,"Erode moves to the mainboard, 2 of 60 lists (3%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,return,side,March of Otherworldly Light,"March of Otherworldly Light moves to the sideboard, 3 of 60 lists (5%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,adoption,side,Nihil Spellbomb,"Nihil Spellbomb climbed in the sideboard, 5/31 to 25/60 lists (16% to 42%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,return,side,Prismatic Ending,"Prismatic Ending moves to the sideboard, 3 of 60 lists (5%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,adoption,main,Wrath of the Skies,"Wrath of the Skies climbed in the mainboard, 1/31 to 15/60 lists (3% to 25%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,adoption,side,Wrath of the Skies,"Wrath of the Skies fell in the sideboard, 30/31 to 45/60 lists (97% to 75%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,adoption,side,Chalice of the Void,"Chalice of the Void fell in the sideboard, 8/31 to 0/60 lists (26% to 0%)"
2026-06-01,2026-06-14,60,the fortnight to 2026-05-31,adoption,main,"Kavaero, Mind-Bitten","Kavaero, Mind-Bitten fell in the mainboard, 8/31 to 0/60 lists (26% to 0%)"
2026-06-15,2026-06-28,38,the fortnight to 2026-06-14,adoption,main,Psychic Frog,"Psychic Frog climbed in the mainboard, 9/60 to 16/38 lists (15% to 42%)"
2026-06-15,2026-06-28,38,the fortnight to 2026-06-14,copies,main,Fatal Push,Fatal Push down from 3.7 to 3.2 copies on average
2026-06-15,2026-06-28,38,the fortnight to 2026-06-14,copies,main,Flickerwisp,Flickerwisp down from 2.4 to 2.0 copies on average
2026-06-15,2026-06-28,38,the fortnight to 2026-06-14,copies,main,Polluted Delta,Polluted Delta up from 1.5 to 2.0 copies on average
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,adoption,side,Clarion Conqueror,"Clarion Conqueror fell in the sideboard, 28/38 to 14/28 lists (74% to 50%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,adoption,side,Damping Sphere,"Damping Sphere climbed in the sideboard, 12/38 to 19/28 lists (32% to 68%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,return,side,"Emrakul, the Aeons Torn","Emrakul, the Aeons Torn appears for the first time, 3 of 28 lists (11%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,return,side,Ghost Vacuum,"Ghost Vacuum appears for the first time, 3 of 28 lists (11%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,adoption,main,Island,"Island fell in the mainboard, 27/38 to 11/28 lists (71% to 39%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,adoption,side,Nihil Spellbomb,"Nihil Spellbomb fell in the sideboard, 19/38 to 7/28 lists (50% to 25%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,adoption,side,White Orchid Phantom,"White Orchid Phantom fell in the sideboard, 25/38 to 8/28 lists (66% to 29%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,adoption,side,"Elesh Norn, Mother of Machines","Elesh Norn, Mother of Machines fell in the sideboard, 12/38 to 0/28 lists (32% to 0%)"
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,copies,main,Flickerwisp,Flickerwisp up from 2.0 to 2.6 copies on average
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,copies,main,Polluted Delta,Polluted Delta down from 2.0 to 1.5 copies on average
2026-06-29,2026-07-12,28,the fortnight to 2026-06-28,copies,main,Witch Enchanter,Witch Enchanter up from 2.8 to 3.2 copies on average
2026-07-13,2026-07-26,20,the fortnight to 2026-07-12,adoption,main,Consign to Memory,"Consign to Memory fell in the mainboard, 10/28 to 3/20 lists (36% to 15%)"
2026-07-13,2026-07-26,20,the fortnight to 2026-07-12,adoption,main,Orcish Bowmasters,"Orcish Bowmasters climbed in the mainboard, 4/28 to 9/20 lists (14% to 45%)"
2026-07-13,2026-07-26,20,the fortnight to 2026-07-12,return,main,White Orchid Phantom,"White Orchid Phantom moves to the mainboard, 2 of 20 lists (10%)"
2026-07-13,2026-07-26,20,the fortnight to 2026-07-12,event,,,Pro Tour Amsterdam
