week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,18,11,288,0.03819444444444445,3,72,0.041666666666666664,6,7,434,0.016129032258064516
2026-05-25,13,8,352,0.022727272727272728,1,88,0.011363636363636364,5,5,479,0.010438413361169102
2026-06-01,33,16,384,0.041666666666666664,5,96,0.052083333333333336,7,17,511,0.033268101761252444
2026-06-08,27,10,384,0.026041666666666668,2,96,0.020833333333333332,3,17,484,0.03512396694214876
2026-06-15,20,10,352,0.028409090909090908,3,88,0.03409090909090909,6,10,462,0.021645021645021644
2026-06-22,18,9,384,0.0234375,1,96,0.010416666666666666,2,9,393,0.022900763358778626
2026-06-29,19,7,352,0.019886363636363636,1,88,0.011363636363636364,5,12,428,0.028037383177570093
2026-07-06,9,2,416,0.004807692307692308,0,104,0.0,2,7,418,0.01674641148325359
2026-07-13,9,4,448,0.008928571428571428,1,112,0.008928571428571428,2,5,410,0.012195121951219513
2026-07-20,11,8,512,0.015625,0,128,0.0,3,3,393,0.007633587786259542
2026-07-27,9,6,384,0.015625,3,96,0.03125,5,3,439,0.00683371298405467
2026-08-03,21,11,352,0.03125,2,88,0.022727272727272728,7,10,380,0.02631578947368421
2026-08-10,50,27,416,0.06490384615384616,8,104,0.07692307692307693,18,23,407,0.056511056511056514
2026-08-17,64,33,384,0.0859375,10,96,0.10416666666666667,21,31,386,0.08031088082901554
2026-08-24,68,36,480,0.075,12,120,0.1,22,32,379,0.08443271767810026
2026-08-31,70,43,448,0.09598214285714286,17,112,0.15178571428571427,26,27,378,0.07142857142857142
2026-09-07,54,28,412,0.06796116504854369,10,104,0.09615384615384616,17,26,418,0.06220095693779904
