start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,29,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,adoption,side,Cavern of Souls,"Cavern of Souls fell in the sideboard, 18/29 to 6/36 lists (62% to 17%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,adoption,side,Damping Sphere,"Damping Sphere climbed in the sideboard, 4/29 to 23/36 lists (14% to 64%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,adoption,main,Pithing Needle,"Pithing Needle climbed in the mainboard, 1/29 to 9/36 lists (3% to 25%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,return,main,Shifting Woodland,"Shifting Woodland appears for the first time, 2 of 36 lists (6%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,return,main,Sire of Seven Deaths,"Sire of Seven Deaths moves to the mainboard, 2 of 36 lists (6%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,adoption,main,Sowing Mycospawn,"Sowing Mycospawn climbed in the mainboard, 3/29 to 11/36 lists (10% to 31%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,return,side,Sowing Mycospawn,"Sowing Mycospawn moves to the sideboard, 8 of 36 lists (22%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,return,side,Trinisphere,"Trinisphere appears for the first time, 12 of 36 lists (33%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,adoption,side,Veil of Summer,"Veil of Summer fell in the sideboard, 22/29 to 11/36 lists (76% to 31%)"
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,copies,main,Blade of the Bloodchief,Blade of the Bloodchief down from 3.8 to 3.2 copies on average
2026-06-01,2026-06-14,36,the fortnight to 2026-05-31,copies,main,Vexing Bauble,Vexing Bauble down from 2.2 to 1.7 copies on average
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Cavern of Souls,"Cavern of Souls climbed in the sideboard, 6/36 to 18/35 lists (17% to 51%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Damping Sphere,"Damping Sphere fell in the sideboard, 23/36 to 8/35 lists (64% to 23%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,main,Dismember,"Dismember climbed in the mainboard, 12/36 to 24/35 lists (33% to 69%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Dismember,"Dismember fell in the sideboard, 24/36 to 11/35 lists (67% to 31%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Gemstone Caverns,"Gemstone Caverns climbed in the sideboard, 13/36 to 22/35 lists (36% to 63%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Grafdigger's Cage,"Grafdigger's Cage climbed in the sideboard, 15/36 to 29/35 lists (42% to 83%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,return,main,Karplusan Forest,"Karplusan Forest appears for the first time, 2 of 35 lists (6%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Nature's Claim,"Nature's Claim climbed in the sideboard, 27/36 to 35/35 lists (75% to 100%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Trinisphere,"Trinisphere climbed in the sideboard, 12/36 to 21/35 lists (33% to 60%)"
2026-06-15,2026-06-28,35,the fortnight to 2026-06-14,adoption,side,Veil of Summer,"Veil of Summer fell in the sideboard, 11/36 to 1/35 lists (31% to 3%)"
