week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,20,7,352,0.019886363636363636,1,88,0.011363636363636364,2,13,482,0.026970954356846474
2026-05-25,10,5,352,0.014204545454545454,2,88,0.022727272727272728,3,5,479,0.010438413361169102
2026-06-01,23,9,384,0.0234375,2,96,0.020833333333333332,5,14,511,0.0273972602739726
2026-06-08,13,6,384,0.015625,2,96,0.020833333333333332,4,7,484,0.014462809917355372
2026-06-15,14,6,352,0.017045454545454544,2,88,0.022727272727272728,4,8,462,0.017316017316017316
2026-06-22,21,8,384,0.020833333333333332,3,96,0.03125,4,13,393,0.03307888040712468
2026-06-29,18,7,352,0.019886363636363636,2,88,0.022727272727272728,2,11,428,0.02570093457943925
2026-07-06,24,12,416,0.028846153846153848,3,104,0.028846153846153848,7,12,418,0.028708133971291867
2026-07-13,34,18,448,0.04017857142857143,3,112,0.026785714285714284,8,16,410,0.03902439024390244
2026-07-20,13,9,512,0.017578125,3,128,0.0234375,3,4,393,0.010178117048346057
2026-07-27,10,5,384,0.013020833333333334,1,96,0.010416666666666666,4,5,439,0.011389521640091117
2026-08-03,5,2,352,0.005681818181818182,0,88,0.0,0,3,380,0.007894736842105263
2026-08-10,12,2,416,0.004807692307692308,0,104,0.0,2,10,404,0.024752475247524754
2026-08-17,11,6,384,0.015625,1,96,0.010416666666666666,2,5,340,0.014705882352941176
2026-08-24,35,24,480,0.05,7,120,0.058333333333333334,15,11,348,0.031609195402298854
2026-08-31,46,24,448,0.05357142857142857,9,112,0.08035714285714286,16,22,378,0.0582010582010582
