week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,1,0,288,0.0,0,72,0.0,0,1,434,0.002304147465437788
2026-05-25,1,1,352,0.002840909090909091,0,88,0.0,0,0,479,0.0
2026-06-01,4,0,384,0.0,0,96,0.0,0,4,511,0.007827788649706457
2026-06-08,5,3,384,0.0078125,1,96,0.010416666666666666,1,2,484,0.004132231404958678
2026-06-15,15,3,352,0.008522727272727272,1,88,0.011363636363636364,1,12,462,0.025974025974025976
2026-06-22,6,4,384,0.010416666666666666,1,96,0.010416666666666666,2,2,393,0.005089058524173028
2026-06-29,3,1,352,0.002840909090909091,0,88,0.0,0,2,428,0.004672897196261682
2026-07-06,5,1,416,0.002403846153846154,0,104,0.0,0,4,418,0.009569377990430622
2026-07-13,6,3,448,0.006696428571428571,0,112,0.0,0,3,410,0.007317073170731708
2026-07-20,8,3,512,0.005859375,2,128,0.015625,2,5,393,0.01272264631043257
2026-07-27,26,16,384,0.041666666666666664,6,96,0.0625,8,10,439,0.022779043280182234
2026-08-03,69,34,352,0.09659090909090909,8,88,0.09090909090909091,18,35,380,0.09210526315789473
2026-08-10,70,32,416,0.07692307692307693,6,104,0.057692307692307696,15,38,407,0.09336609336609336
2026-08-17,61,29,384,0.07552083333333333,11,96,0.11458333333333333,19,32,386,0.08290155440414508
2026-08-24,41,24,480,0.05,3,120,0.025,10,17,379,0.044854881266490766
2026-08-31,30,11,448,0.024553571428571428,0,112,0.0,7,19,378,0.05026455026455026
2026-09-07,30,20,412,0.04854368932038835,5,104,0.04807692307692308,11,10,418,0.023923444976076555
