start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,27,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,25,the fortnight to 2026-05-31,adoption,main,Agna Qel'a,"Agna Qel'a fell in the mainboard, 16/27 to 9/25 lists (59% to 36%)"
2026-06-01,2026-06-14,25,the fortnight to 2026-05-31,adoption,side,Chalice of the Void,"Chalice of the Void climbed in the sideboard, 3/27 to 8/25 lists (11% to 32%)"
2026-06-01,2026-06-14,25,the fortnight to 2026-05-31,adoption,main,Consign to Memory,"Consign to Memory fell in the mainboard, 18/27 to 7/25 lists (67% to 28%)"
2026-06-01,2026-06-14,25,the fortnight to 2026-05-31,adoption,side,Consign to Memory,"Consign to Memory climbed in the sideboard, 9/27 to 17/25 lists (33% to 68%)"
2026-06-01,2026-06-14,25,the fortnight to 2026-05-31,adoption,main,Gloomlake Verge,"Gloomlake Verge fell in the mainboard, 20/27 to 13/25 lists (74% to 52%)"
2026-06-01,2026-06-14,25,the fortnight to 2026-05-31,adoption,main,Waterlogged Teachings,"Waterlogged Teachings climbed in the mainboard, 1/27 to 6/25 lists (4% to 24%)"
2026-06-15,2026-06-28,40,the fortnight to 2026-06-14,adoption,side,Consign to Memory,"Consign to Memory climbed in the sideboard, 17/25 to 36/40 lists (68% to 90%)"
2026-06-15,2026-06-28,40,the fortnight to 2026-06-14,adoption,main,"Kaito, Bane of Nightmares","Kaito, Bane of Nightmares fell in the mainboard, 25/25 to 31/40 lists (100% to 78%)"
2026-06-15,2026-06-28,40,the fortnight to 2026-06-14,return,side,Requiting Hex,"Requiting Hex appears for the first time, 4 of 40 lists (10%)"
2026-06-15,2026-06-28,40,the fortnight to 2026-06-14,return,main,Verdant Catacombs,"Verdant Catacombs appears for the first time, 3 of 40 lists (8%)"
2026-06-15,2026-06-28,40,the fortnight to 2026-06-14,copies,main,Spell Snare,Spell Snare up from 2.1 to 2.6 copies on average
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,main,Drown in the Loch,"Drown in the Loch fell in the mainboard, 35/40 to 13/38 lists (88% to 34%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,main,Misty Rainforest,"Misty Rainforest climbed in the mainboard, 9/40 to 18/38 lists (22% to 47%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,main,Murktide Regent,"Murktide Regent climbed in the mainboard, 6/40 to 16/38 lists (15% to 42%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,return,main,Nihil Spellbomb,"Nihil Spellbomb moves to the mainboard, 2 of 38 lists (5%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,main,Preordain,"Preordain climbed in the mainboard, 3/40 to 12/38 lists (8% to 32%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,return,main,Prismatic Ending,"Prismatic Ending returns after 6 weeks away, 2 of 38 lists (5%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,main,Scalding Tarn,"Scalding Tarn climbed in the mainboard, 8/40 to 17/38 lists (20% to 45%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,main,Sheoldred's Edict,"Sheoldred's Edict climbed in the mainboard, 19/40 to 32/38 lists (48% to 84%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,side,Sheoldred's Edict,"Sheoldred's Edict fell in the sideboard, 17/40 to 5/38 lists (42% to 13%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,adoption,side,Surgical Extraction,"Surgical Extraction climbed in the sideboard, 3/40 to 14/38 lists (8% to 37%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,return,main,Thundering Falls,"Thundering Falls returns after 6 weeks away, 2 of 38 lists (5%)"
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,copies,main,Flooded Strand,Flooded Strand down from 2.8 to 2.3 copies on average
2026-06-29,2026-07-12,38,the fortnight to 2026-06-28,copies,main,Spell Snare,Spell Snare down from 2.6 to 2.1 copies on average
