week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,19,5,288,0.017361111111111112,1,72,0.013888888888888888,1,14,434,0.03225806451612903
2026-05-25,8,1,352,0.002840909090909091,0,88,0.0,0,7,479,0.014613778705636743
2026-06-01,13,5,384,0.013020833333333334,1,96,0.010416666666666666,3,8,511,0.015655577299412915
2026-06-08,12,4,384,0.010416666666666666,2,96,0.020833333333333332,3,8,484,0.01652892561983471
2026-06-15,25,9,352,0.02556818181818182,1,88,0.011363636363636364,3,16,462,0.03463203463203463
2026-06-22,15,4,384,0.010416666666666666,1,96,0.010416666666666666,2,11,393,0.027989821882951654
2026-06-29,20,9,352,0.02556818181818182,1,88,0.011363636363636364,3,11,428,0.02570093457943925
2026-07-06,18,6,416,0.014423076923076924,1,104,0.009615384615384616,3,12,418,0.028708133971291867
2026-07-13,29,11,448,0.024553571428571428,1,112,0.008928571428571428,4,18,410,0.04390243902439024
2026-07-20,34,22,512,0.04296875,9,128,0.0703125,15,12,393,0.030534351145038167
2026-07-27,29,10,384,0.026041666666666668,3,96,0.03125,4,19,439,0.04328018223234624
2026-08-03,46,20,352,0.056818181818181816,8,88,0.09090909090909091,15,26,380,0.06842105263157895
2026-08-10,45,19,416,0.04567307692307692,5,104,0.04807692307692308,11,26,407,0.06388206388206388
2026-08-17,29,11,384,0.028645833333333332,5,96,0.052083333333333336,6,18,386,0.046632124352331605
2026-08-24,34,12,480,0.025,5,120,0.041666666666666664,8,22,379,0.05804749340369393
2026-08-31,30,22,448,0.049107142857142856,6,112,0.05357142857142857,12,8,378,0.021164021164021163
2026-09-07,30,12,412,0.02912621359223301,2,104,0.019230769230769232,5,18,418,0.0430622009569378
