start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,Archangel Elspeth,"Archangel Elspeth appears for the first time, 2 of 151 lists (1%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,"Boromir, Warden of the Tower","Boromir, Warden of the Tower appears for the first time, 47 of 151 lists (31%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,side,"Boromir, Warden of the Tower","Boromir, Warden of the Tower returns after 12 weeks away, 3 of 151 lists (2%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,side,Burrenton Forge-Tender,"Burrenton Forge-Tender appears for the first time, 4 of 151 lists (3%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,Imperial Recruiter,"Imperial Recruiter appears for the first time, 2 of 151 lists (1%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,Leyline of Combustion,"Leyline of Combustion appears for the first time, 2 of 151 lists (1%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,"Lightning, Army of One","Lightning, Army of One returns after 16 weeks away, 7 of 151 lists (5%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,"Ojer Axonil, Deepest Might","Ojer Axonil, Deepest Might appears for the first time, 2 of 151 lists (1%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,Reckless Pyrosurfer,"Reckless Pyrosurfer appears for the first time, 2 of 151 lists (1%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,side,Rest in Peace,"Rest in Peace appears for the first time, 46 of 151 lists (30%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,side,Sanctifier en-Vec,"Sanctifier en-Vec returns after 10 weeks away, 3 of 151 lists (2%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,Tersa Lightshatter,"Tersa Lightshatter appears for the first time, 2 of 151 lists (1%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,side,Umezawa's Jitte,"Umezawa's Jitte appears for the first time, 4 of 151 lists (3%)"
2026-05-18,2026-05-31,151,the fortnight to 2026-05-17,return,main,Warleader's Call,"Warleader's Call appears for the first time, 2 of 151 lists (1%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,side,Blasphemous Act,"Blasphemous Act appears for the first time, 3 of 177 lists (2%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,side,Clarion Conqueror,"Clarion Conqueror climbed in the sideboard, 24/151 to 73/177 lists (16% to 41%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,main,Cori Mountain Monastery,"Cori Mountain Monastery returns after 10 weeks away, 4 of 177 lists (2%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,main,Enduring Innocence,"Enduring Innocence returns after 6 weeks away, 3 of 177 lists (2%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,side,Fracturing Gust,"Fracturing Gust appears for the first time, 21 of 177 lists (12%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,side,Jolted Awake,"Jolted Awake returns after 12 weeks away, 3 of 177 lists (2%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,side,Obsidian Charmaw,"Obsidian Charmaw climbed in the sideboard, 100/151 to 157/177 lists (66% to 89%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,side,Orim's Chant,"Orim's Chant fell in the sideboard, 115/151 to 86/177 lists (76% to 49%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,main,Prismatic Ending,"Prismatic Ending moves to the mainboard, 2 of 177 lists (1%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,side,Rest in Peace,"Rest in Peace climbed in the sideboard, 46/151 to 98/177 lists (30% to 55%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,main,Stadium Headliner,"Stadium Headliner appears for the first time, 2 of 177 lists (1%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,main,Sunbillow Verge,"Sunbillow Verge appears for the first time, 14 of 177 lists (8%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,main,The Legend of Roku,"The Legend of Roku climbed in the mainboard, 68/151 to 141/177 lists (45% to 80%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,side,The Legend of Roku,"The Legend of Roku fell in the sideboard, 63/151 to 26/177 lists (42% to 15%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,return,main,Umezawa's Jitte,"Umezawa's Jitte moves to the mainboard, 4 of 177 lists (2%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,adoption,side,Vexing Bauble,"Vexing Bauble climbed in the sideboard, 115/151 to 173/177 lists (76% to 98%)"
2026-06-01,2026-06-14,177,the fortnight to 2026-05-31,copies,main,Arena of Glory,Arena of Glory down from 1.7 to 1.3 copies on average
2026-06-15,2026-06-28,138,the fortnight to 2026-06-14,return,main,"Aurelia, the Law Above","Aurelia, the Law Above appears for the first time, 4 of 138 lists (3%)"
2026-06-15,2026-06-28,138,the fortnight to 2026-06-14,return,main,"Eiganjo, Seat of the Empire","Eiganjo, Seat of the Empire returns after 20 weeks away, 4 of 138 lists (3%)"
2026-06-15,2026-06-28,138,the fortnight to 2026-06-14,adoption,side,Surgical Extraction,"Surgical Extraction climbed in the sideboard, 74/177 to 95/138 lists (42% to 69%)"
2026-06-29,2026-07-12,160,the fortnight to 2026-06-28,adoption,main,Fable of the Mirror-Breaker,"Fable of the Mirror-Breaker fell in the mainboard, 61/138 to 24/160 lists (44% to 15%)"
2026-06-29,2026-07-12,160,the fortnight to 2026-06-28,return,main,Painter's Studio // Defaced Gallery,"Painter's Studio // Defaced Gallery appears for the first time, 7 of 160 lists (4%)"
2026-06-29,2026-07-12,160,the fortnight to 2026-06-28,return,main,Scout for Survivors,"Scout for Survivors returns after 6 weeks away, 4 of 160 lists (2%)"
2026-06-29,2026-07-12,160,the fortnight to 2026-06-28,adoption,side,Vexing Bauble,"Vexing Bauble fell in the sideboard, 134/138 to 123/160 lists (97% to 77%)"
2026-07-13,2026-07-26,153,Pro Tour Amsterdam,adoption,side,Wear/Tear,"Wear/Tear climbed in the sideboard, 0/45 to 146/153 lists (0% to 95%)"
2026-07-13,2026-07-26,153,Pro Tour Amsterdam,adoption,side,Wear,"Wear fell in the sideboard, 44/45 to 0/153 lists (98% to 0%)"
2026-07-13,2026-07-26,153,Pro Tour Amsterdam,copies,main,Voice of Victory,Voice of Victory up from 2.9 to 3.3 copies on average
2026-07-13,2026-07-26,153,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,108,the fortnight to 2026-07-26,return,main,Conduit Goblin,"Conduit Goblin appears for the first time, 2 of 108 lists (2%)"
2026-07-27,2026-08-09,108,the fortnight to 2026-07-26,adoption,main,The Legend of Roku,"The Legend of Roku fell in the mainboard, 65/153 to 16/108 lists (42% to 15%)"
2026-08-10,2026-08-23,69,the fortnight to 2026-08-09,return,main,Belladonna Took,"Belladonna Took appears for the first time, 7 of 69 lists (10%)"
2026-08-10,2026-08-23,69,the fortnight to 2026-08-09,adoption,main,Blood Moon,"Blood Moon climbed in the mainboard, 64/108 to 56/69 lists (59% to 81%)"
2026-08-10,2026-08-23,69,the fortnight to 2026-08-09,return,main,Fear of Missing Out,"Fear of Missing Out appears for the first time, 6 of 69 lists (9%)"
2026-08-10,2026-08-23,69,the fortnight to 2026-08-09,return,side,Grafdigger's Cage,"Grafdigger's Cage returns after 8 weeks away, 5 of 69 lists (7%)"
2026-08-10,2026-08-23,69,the fortnight to 2026-08-09,adoption,main,Prismatic Ending,"Prismatic Ending climbed in the mainboard, 10/108 to 21/69 lists (9% to 30%)"
2026-08-10,2026-08-23,69,the fortnight to 2026-08-09,adoption,main,Windswept Heath,"Windswept Heath climbed in the mainboard, 28/108 to 34/69 lists (26% to 49%)"
2026-08-24,2026-09-06,54,Spotlight Dallas,adoption,main,Arena of Glory,"Arena of Glory fell in the mainboard, 33/34 to 41/54 lists (97% to 76%)"
2026-08-24,2026-09-06,54,Spotlight Dallas,adoption,main,Sunbaked Canyon,"Sunbaked Canyon climbed in the mainboard, 5/34 to 26/54 lists (15% to 48%)"
2026-08-24,2026-09-06,54,Spotlight Dallas,adoption,side,Wear/Tear,"Wear/Tear climbed in the sideboard, 0/34 to 53/54 lists (0% to 98%)"
2026-08-24,2026-09-06,54,Spotlight Dallas,adoption,main,Windswept Heath,"Windswept Heath fell in the mainboard, 19/34 to 19/54 lists (56% to 35%)"
2026-08-24,2026-09-06,54,Spotlight Dallas,adoption,side,Wear,"Wear fell in the sideboard, 34/34 to 0/54 lists (100% to 0%)"
2026-08-24,2026-09-06,54,Spotlight Dallas,event,,,Spotlight Brisbane
2026-08-24,2026-09-06,54,Spotlight Dallas,event,,,Spotlight Dallas
