week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,69,28,288,0.09722222222222222,7,72,0.09722222222222222,12,41,434,0.0944700460829493
2026-05-25,67,29,352,0.08238636363636363,8,88,0.09090909090909091,15,38,479,0.07933194154488518
2026-06-01,81,48,384,0.125,14,96,0.14583333333333334,26,33,511,0.06457925636007827
2026-06-08,98,46,384,0.11979166666666667,8,96,0.08333333333333333,25,52,484,0.10743801652892562
2026-06-15,61,30,352,0.08522727272727272,7,88,0.07954545454545454,14,31,462,0.0670995670995671
2026-06-22,79,51,384,0.1328125,16,96,0.16666666666666666,28,28,393,0.07124681933842239
2026-06-29,81,42,352,0.11931818181818182,12,88,0.13636363636363635,20,39,428,0.0911214953271028
2026-07-06,84,50,416,0.1201923076923077,16,104,0.15384615384615385,30,34,418,0.08133971291866028
2026-07-13,85,57,448,0.12723214285714285,17,112,0.15178571428571427,28,28,410,0.06829268292682927
2026-07-20,69,42,512,0.08203125,8,128,0.0625,17,27,393,0.06870229007633588
2026-07-27,64,36,384,0.09375,11,96,0.11458333333333333,18,28,439,0.06378132118451026
2026-08-03,45,16,352,0.045454545454545456,4,88,0.045454545454545456,5,29,380,0.07631578947368421
2026-08-10,47,27,416,0.06490384615384616,6,104,0.057692307692307696,14,20,404,0.04950495049504951
2026-08-17,26,15,384,0.0390625,2,96,0.020833333333333332,8,11,386,0.02849740932642487
2026-08-24,35,17,480,0.035416666666666666,2,120,0.016666666666666666,8,18,379,0.047493403693931395
2026-08-31,23,8,448,0.017857142857142856,0,112,0.0,1,15,378,0.03968253968253968
