start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,20,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,main,Consign to Memory,"Consign to Memory climbed in the mainboard, 6/20 to 39/65 lists (30% to 60%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,side,Consign to Memory,"Consign to Memory fell in the sideboard, 13/20 to 26/65 lists (65% to 40%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,main,March of Otherworldly Light,"March of Otherworldly Light climbed in the mainboard, 5/20 to 41/65 lists (25% to 63%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,side,Nihil Spellbomb,"Nihil Spellbomb climbed in the sideboard, 11/20 to 52/65 lists (55% to 80%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,main,Pest Control,"Pest Control climbed in the mainboard, 1/20 to 19/65 lists (5% to 29%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,side,Pest Control,"Pest Control fell in the sideboard, 12/20 to 23/65 lists (60% to 35%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,side,Spell Snare,"Spell Snare climbed in the sideboard, 1/20 to 17/65 lists (5% to 26%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,adoption,side,Surgical Extraction,"Surgical Extraction climbed in the sideboard, 7/20 to 46/65 lists (35% to 71%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,copies,main,Prismatic Ending,"Prismatic Ending at 2 copies climbed, 8/20 to 43/65 lists (40% to 66%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,copies,main,Force of Negation,Force of Negation down from 2.6 to 2.2 copies on average
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,manabase,main,21 lands,"21 lands fell, 17/20 to 33/65 lists (85% to 51%)"
2026-06-01,2026-06-14,65,the fortnight to 2026-05-31,manabase,main,22 lands,"22 lands climbed, 2/20 to 25/65 lists (10% to 38%)"
