week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,9,4,288,0.013888888888888888,1,72,0.013888888888888888,1,5,434,0.01152073732718894
2026-05-25,11,4,352,0.011363636363636364,1,88,0.011363636363636364,4,7,479,0.014613778705636743
2026-06-01,19,12,384,0.03125,5,96,0.052083333333333336,7,7,511,0.0136986301369863
2026-06-08,46,20,384,0.052083333333333336,5,96,0.052083333333333336,7,26,484,0.05371900826446281
2026-06-15,36,14,352,0.03977272727272727,2,88,0.022727272727272728,5,22,462,0.047619047619047616
2026-06-22,25,13,384,0.033854166666666664,1,96,0.010416666666666666,5,12,393,0.030534351145038167
2026-06-29,43,22,352,0.0625,1,88,0.011363636363636364,6,21,428,0.04906542056074766
2026-07-06,34,14,416,0.03365384615384615,2,104,0.019230769230769232,6,20,418,0.04784688995215311
2026-07-13,28,18,448,0.04017857142857143,2,112,0.017857142857142856,8,10,410,0.024390243902439025
2026-07-20,38,20,512,0.0390625,6,128,0.046875,11,18,393,0.04580152671755725
2026-07-27,38,19,384,0.049479166666666664,4,96,0.041666666666666664,6,19,439,0.04328018223234624
2026-08-03,34,23,352,0.06534090909090909,5,88,0.056818181818181816,8,11,380,0.02894736842105263
2026-08-10,37,23,416,0.055288461538461536,5,104,0.04807692307692308,10,14,404,0.034653465346534656
2026-08-17,35,22,384,0.057291666666666664,9,96,0.09375,13,13,386,0.03367875647668394
2026-08-24,41,27,480,0.05625,11,120,0.09166666666666666,15,14,379,0.036939313984168866
2026-08-31,48,30,448,0.06696428571428571,4,112,0.03571428571428571,11,18,378,0.047619047619047616
