start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,6,the fortnight to 2026-05-17,return,side,Chalice of the Void,"Chalice of the Void appears for the first time, 3 of 6 lists (50%)"
2026-05-18,2026-05-31,6,the fortnight to 2026-05-17,return,main,Memory Deluge,"Memory Deluge appears for the first time, 2 of 6 lists (33%)"
2026-05-18,2026-05-31,6,the fortnight to 2026-05-17,return,main,Petrified Hamlet,"Petrified Hamlet appears for the first time, 2 of 6 lists (33%)"
2026-05-18,2026-05-31,6,the fortnight to 2026-05-17,return,main,"Tamiyo, Inquisitive Student","Tamiyo, Inquisitive Student appears for the first time, 3 of 6 lists (50%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Breeding Pool,"Breeding Pool appears for the first time, 5 of 17 lists (29%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Counterspell,"Counterspell fell in the mainboard, 6/6 to 13/17 lists (100% to 76%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Day's Undoing,"Day's Undoing climbed in the mainboard, 1/6 to 11/17 lists (17% to 65%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Delighted Halfling,"Delighted Halfling appears for the first time, 3 of 17 lists (18%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Elegant Parlor,"Elegant Parlor climbed in the mainboard, 1/6 to 8/17 lists (17% to 47%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Emeritus of Abundance,"Emeritus of Abundance appears for the first time, 2 of 17 lists (12%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Floodfarm Verge,"Floodfarm Verge appears for the first time, 4 of 17 lists (24%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Force of Negation,"Force of Negation climbed in the mainboard, 1/6 to 7/17 lists (17% to 41%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Forest,"Forest appears for the first time, 2 of 17 lists (12%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Geier Reach Sanitarium,"Geier Reach Sanitarium climbed in the mainboard, 1/6 to 11/17 lists (17% to 65%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Green Sun's Zenith,"Green Sun's Zenith appears for the first time, 2 of 17 lists (12%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,side,High Noon,"High Noon climbed in the sideboard, 2/6 to 14/17 lists (33% to 82%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,side,"Kaheera, the Orphanguard","Kaheera, the Orphanguard climbed in the sideboard, 2/6 to 14/17 lists (33% to 82%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,Leyline Binding,"Leyline Binding appears for the first time, 2 of 17 lists (12%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Lórien Revealed,"Lórien Revealed fell in the mainboard, 6/6 to 11/17 lists (100% to 65%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,March of Otherworldly Light,"March of Otherworldly Light climbed in the mainboard, 0/6 to 5/17 lists (0% to 29%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,Monumental Henge,"Monumental Henge climbed in the mainboard, 2/6 to 13/17 lists (33% to 76%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,adoption,main,"Narset, Parter of Veils","Narset, Parter of Veils climbed in the mainboard, 1/6 to 11/17 lists (17% to 65%)"
2026-06-01,2026-06-14,17,the fortnight to 2026-05-31,return,main,"Nissa, Resurgent Animist","Nissa, Resurgent Animist appears for the first time, 2 of 17 lists (12%)"
