week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,23,14,288,0.04861111111111111,7,72,0.09722222222222222,9,9,434,0.020737327188940093
2026-05-25,21,12,352,0.03409090909090909,4,88,0.045454545454545456,7,9,479,0.018789144050104383
2026-06-01,35,22,384,0.057291666666666664,8,96,0.08333333333333333,13,13,511,0.025440313111545987
2026-06-08,39,26,384,0.06770833333333333,7,96,0.07291666666666667,10,13,484,0.026859504132231406
2026-06-15,31,14,352,0.03977272727272727,3,88,0.03409090909090909,8,17,462,0.0367965367965368
2026-06-22,38,22,384,0.057291666666666664,8,96,0.08333333333333333,19,16,393,0.04071246819338423
2026-06-29,32,20,352,0.056818181818181816,5,88,0.056818181818181816,8,12,428,0.028037383177570093
2026-07-06,45,21,416,0.05048076923076923,5,104,0.04807692307692308,12,24,418,0.05741626794258373
2026-07-13,25,17,448,0.03794642857142857,7,112,0.0625,11,8,410,0.01951219512195122
2026-07-20,38,19,512,0.037109375,6,128,0.046875,14,19,393,0.04834605597964377
2026-07-27,24,13,384,0.033854166666666664,4,96,0.041666666666666664,8,11,439,0.025056947608200455
2026-08-03,18,12,352,0.03409090909090909,4,88,0.045454545454545456,5,6,380,0.015789473684210527
2026-08-10,18,14,416,0.03365384615384615,2,104,0.019230769230769232,7,4,404,0.009900990099009901
2026-08-17,27,13,384,0.033854166666666664,1,96,0.010416666666666666,5,14,386,0.03626943005181347
2026-08-24,14,3,480,0.00625,1,120,0.008333333333333333,2,11,379,0.029023746701846966
2026-08-31,14,9,448,0.020089285714285716,1,112,0.008928571428571428,3,5,378,0.013227513227513227
