start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Blood Moon,"Blood Moon appears for the first time, 12 of 59 lists (20%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,"Boseiju, Who Endures","Boseiju, Who Endures appears for the first time, 36 of 59 lists (61%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Brazen Borrower,"Brazen Borrower appears for the first time, 10 of 59 lists (17%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Brazen Borrower,"Brazen Borrower appears for the first time, 12 of 59 lists (20%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Breeding Pool,"Breeding Pool appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Brotherhood's End,"Brotherhood's End appears for the first time, 9 of 59 lists (15%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Clarion Conqueror,"Clarion Conqueror appears for the first time, 7 of 59 lists (12%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Colossal Skyturtle,"Colossal Skyturtle appears for the first time, 49 of 59 lists (83%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Commandeer,"Commandeer appears for the first time, 17 of 59 lists (29%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Commercial District,"Commercial District appears for the first time, 51 of 59 lists (86%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Curator of Mysteries,"Curator of Mysteries appears for the first time, 57 of 59 lists (97%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Damping Matrix,"Damping Matrix appears for the first time, 20 of 59 lists (34%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Damping Sphere,"Damping Sphere appears for the first time, 3 of 59 lists (5%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Dead/Gone,"Dead/Gone appears for the first time, 16 of 59 lists (27%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Deafening Silence,"Deafening Silence appears for the first time, 24 of 59 lists (41%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Disciple of Freyalise,"Disciple of Freyalise appears for the first time, 2 of 59 lists (3%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Dismember,"Dismember appears for the first time, 11 of 59 lists (19%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Endurance,"Endurance appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Fade from History,"Fade from History appears for the first time, 5 of 59 lists (8%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Flare of Denial,"Flare of Denial appears for the first time, 6 of 59 lists (10%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Flooded Grove,"Flooded Grove appears for the first time, 3 of 59 lists (5%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Force of Negation,"Force of Negation appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Force of Vigor,"Force of Vigor appears for the first time, 53 of 59 lists (90%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Forest,"Forest appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Foundation Breaker,"Foundation Breaker appears for the first time, 32 of 59 lists (54%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Generous Ent,"Generous Ent appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Hallowed Fountain,"Hallowed Fountain appears for the first time, 6 of 59 lists (10%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Hedge Maze,"Hedge Maze appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Inevitable Betrayal,"Inevitable Betrayal appears for the first time, 55 of 59 lists (93%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Ingot Chewer,"Ingot Chewer appears for the first time, 22 of 59 lists (37%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Island,"Island appears for the first time, 58 of 59 lists (98%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Leyline of the Void,"Leyline of the Void appears for the first time, 18 of 59 lists (31%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Living End,"Living End appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Magebane Lizard,"Magebane Lizard appears for the first time, 12 of 59 lists (20%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Meticulous Archive,"Meticulous Archive appears for the first time, 5 of 59 lists (8%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Mistrise Village,"Mistrise Village appears for the first time, 50 of 59 lists (85%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Misty Rainforest,"Misty Rainforest appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Mountain,"Mountain appears for the first time, 2 of 59 lists (3%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Mystical Dispute,"Mystical Dispute appears for the first time, 59 of 59 lists (100%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,side,Obsidian Charmaw,"Obsidian Charmaw appears for the first time, 6 of 59 lists (10%)"
2026-05-18,2026-05-31,59,the fortnight to 2026-05-17,return,main,Oliphaunt,"Oliphaunt appears for the first time, 59 of 59 lists (100%)"
