week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,38,10,288,0.034722222222222224,1,72,0.013888888888888888,6,28,434,0.06451612903225806
2026-05-25,21,6,352,0.017045454545454544,0,88,0.0,2,15,479,0.031315240083507306
2026-06-01,20,9,384,0.0234375,2,96,0.020833333333333332,3,11,511,0.021526418786692758
2026-06-08,17,8,384,0.020833333333333332,4,96,0.041666666666666664,4,9,484,0.01859504132231405
2026-06-15,13,5,352,0.014204545454545454,1,88,0.011363636363636364,3,8,462,0.017316017316017316
2026-06-22,18,11,384,0.028645833333333332,2,96,0.020833333333333332,6,7,393,0.017811704834605598
2026-06-29,12,6,352,0.017045454545454544,1,88,0.011363636363636364,4,6,428,0.014018691588785047
2026-07-06,9,5,416,0.01201923076923077,1,104,0.009615384615384616,1,4,418,0.009569377990430622
2026-07-13,19,11,448,0.024553571428571428,4,112,0.03571428571428571,8,8,410,0.01951219512195122
2026-07-20,16,13,512,0.025390625,2,128,0.015625,4,3,393,0.007633587786259542
2026-07-27,20,8,384,0.020833333333333332,2,96,0.020833333333333332,3,12,439,0.02733485193621868
2026-08-03,18,12,352,0.03409090909090909,1,88,0.011363636363636364,7,6,380,0.015789473684210527
2026-08-10,21,7,416,0.016826923076923076,3,104,0.028846153846153848,3,14,404,0.034653465346534656
2026-08-17,20,10,384,0.026041666666666668,3,96,0.03125,4,10,386,0.025906735751295335
2026-08-24,27,17,480,0.035416666666666666,3,120,0.025,4,10,379,0.026385224274406333
2026-08-31,23,11,448,0.024553571428571428,5,112,0.044642857142857144,8,12,378,0.031746031746031744
