start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,6,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,14,the fortnight to 2026-05-31,return,main,Wistfulness,"Wistfulness moves to the mainboard, 2 of 14 lists (14%)"
2026-06-01,2026-06-14,14,the fortnight to 2026-05-31,thin,,,"Too thin to read a move against the fortnight to 2026-05-31: 6 lists, the smaller of the two, where a row needs 10."
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,adoption,side,Abhorrent Oculus,"Abhorrent Oculus climbed in the sideboard, 4/14 to 9/13 lists (29% to 69%)"
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,adoption,side,Natural State,"Natural State fell in the sideboard, 8/14 to 3/13 lists (57% to 23%)"
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,return,main,Nature's Claim,"Nature's Claim moves to the mainboard, 2 of 13 lists (15%)"
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,adoption,main,Repudiate/Replicate,"Repudiate/Replicate climbed in the mainboard, 2/14 to 9/13 lists (14% to 69%)"
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,adoption,main,Wistfulness,"Wistfulness climbed in the mainboard, 2/14 to 9/13 lists (14% to 69%)"
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,copies,main,Disciple of Freyalise,Disciple of Freyalise down from 3.1 to 2.3 copies on average
2026-06-15,2026-06-28,13,the fortnight to 2026-06-14,copies,main,Veil of Summer,Veil of Summer up from 2.0 to 2.7 copies on average
2026-06-29,2026-07-12,7,the fortnight to 2026-06-28,thin,,,"Too thin to read a move against the fortnight to 2026-06-28: 7 lists, the smaller of the two, where a row needs 10."
2026-07-13,2026-07-26,54,Pro Tour Amsterdam,adoption,side,"Boseiju, Who Endures","Boseiju, Who Endures fell in the sideboard, 7/14 to 5/54 lists (50% to 9%)"
2026-07-13,2026-07-26,54,Pro Tour Amsterdam,adoption,side,Fungal Colossus,"Fungal Colossus fell in the sideboard, 7/14 to 5/54 lists (50% to 9%)"
2026-07-13,2026-07-26,54,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,40,the fortnight to 2026-07-26,adoption,side,Abhorrent Oculus,"Abhorrent Oculus climbed in the sideboard, 21/54 to 29/40 lists (39% to 72%)"
2026-07-27,2026-08-09,40,the fortnight to 2026-07-26,adoption,side,Natural State,"Natural State fell in the sideboard, 16/54 to 2/40 lists (30% to 5%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,adoption,side,Natural State,"Natural State climbed in the sideboard, 2/40 to 15/37 lists (5% to 41%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,adoption,main,Nature's Claim,"Nature's Claim fell in the mainboard, 21/40 to 10/37 lists (52% to 27%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,adoption,side,Nature's Claim,"Nature's Claim climbed in the sideboard, 19/40 to 27/37 lists (48% to 73%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,adoption,main,Nourishing Shoal,"Nourishing Shoal climbed in the mainboard, 15/40 to 22/37 lists (38% to 59%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,adoption,main,Preordain,"Preordain fell in the mainboard, 13/40 to 2/37 lists (32% to 5%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,adoption,main,Wistfulness,"Wistfulness fell in the mainboard, 22/40 to 11/37 lists (55% to 30%)"
2026-08-10,2026-08-23,37,the fortnight to 2026-08-09,copies,main,Endurance,Endurance up from 1.0 to 1.4 copies on average
2026-08-24,2026-09-06,23,Spotlight Dallas,adoption,side,Natural State,"Natural State climbed in the sideboard, 5/23 to 11/23 lists (22% to 48%)"
2026-08-24,2026-09-06,23,Spotlight Dallas,return,side,Serra's Emissary,"Serra's Emissary returns after 6 weeks away, 3 of 23 lists (13%)"
2026-08-24,2026-09-06,23,Spotlight Dallas,adoption,side,Thundertrap Trainer,"Thundertrap Trainer climbed in the sideboard, 4/23 to 10/23 lists (17% to 43%)"
2026-08-24,2026-09-06,23,Spotlight Dallas,copies,main,Veil of Summer,Veil of Summer down from 3.2 to 2.7 copies on average
2026-08-24,2026-09-06,23,Spotlight Dallas,event,,,Spotlight Brisbane
2026-08-24,2026-09-06,23,Spotlight Dallas,event,,,Spotlight Dallas
