week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,1,0,288,0.0,0,72,0.0,0,1,434,0.002304147465437788
2026-05-25,5,2,352,0.005681818181818182,0,88,0.0,2,3,479,0.006263048016701462
2026-06-01,6,1,384,0.0026041666666666665,0,96,0.0,0,5,511,0.009784735812133072
2026-06-08,8,5,384,0.013020833333333334,2,96,0.020833333333333332,4,3,484,0.006198347107438017
2026-06-15,10,3,352,0.008522727272727272,2,88,0.022727272727272728,3,7,462,0.015151515151515152
2026-06-22,3,1,384,0.0026041666666666665,0,96,0.0,1,2,393,0.005089058524173028
2026-06-29,3,3,352,0.008522727272727272,2,88,0.022727272727272728,3,0,428,0.0
2026-07-06,4,2,416,0.004807692307692308,1,104,0.009615384615384616,1,2,418,0.004784688995215311
2026-07-13,13,10,448,0.022321428571428572,1,112,0.008928571428571428,2,3,410,0.007317073170731708
2026-07-20,41,27,512,0.052734375,7,128,0.0546875,14,14,393,0.035623409669211195
2026-07-27,25,14,384,0.036458333333333336,2,96,0.020833333333333332,4,11,439,0.025056947608200455
2026-08-03,15,9,352,0.02556818181818182,1,88,0.011363636363636364,3,6,380,0.015789473684210527
2026-08-10,20,18,416,0.04326923076923077,4,104,0.038461538461538464,7,2,407,0.004914004914004914
2026-08-17,17,10,384,0.026041666666666668,0,96,0.0,3,7,386,0.018134715025906734
2026-08-24,12,8,480,0.016666666666666666,3,120,0.025,5,4,379,0.010554089709762533
2026-08-31,11,8,448,0.017857142857142856,2,112,0.017857142857142856,4,3,378,0.007936507936507936
2026-09-07,13,7,412,0.01699029126213592,2,104,0.019230769230769232,2,6,418,0.014354066985645933
