start,end,lists,against,kind,zone,card,text
2026-06-15,2026-06-28,3,the fortnight to 2026-06-14,thin,,,"Too thin to read a move against the fortnight to 2026-06-14: 0 lists, the smaller of the two, where a row needs 10."
2026-06-29,2026-07-12,7,the fortnight to 2026-06-28,thin,,,"Too thin to read a move against the fortnight to 2026-06-28: 3 lists, the smaller of the two, where a row needs 10."
2026-07-13,2026-07-26,14,Pro Tour Amsterdam,return,main,Flame of Anor,"Flame of Anor moves to the mainboard, 3 of 14 lists (21%)"
2026-07-13,2026-07-26,14,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,side,"Aang, Swift Savior","Aang, Swift Savior climbed in the sideboard, 0/14 to 6/23 lists (0% to 26%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Aether Spellbomb,"Aether Spellbomb climbed in the mainboard, 10/14 to 22/23 lists (71% to 96%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Cryogen Relic,"Cryogen Relic climbed in the mainboard, 1/14 to 9/23 lists (7% to 39%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,side,Damping Sphere,"Damping Sphere climbed in the sideboard, 8/14 to 19/23 lists (57% to 83%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,side,Disruptor Flute,"Disruptor Flute climbed in the sideboard, 5/14 to 17/23 lists (36% to 74%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Flooded Strand,"Flooded Strand climbed in the mainboard, 6/14 to 16/23 lists (43% to 70%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Hallowed Fountain,"Hallowed Fountain climbed in the mainboard, 8/14 to 21/23 lists (57% to 91%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Nettlecyst,"Nettlecyst climbed in the mainboard, 1/14 to 9/23 lists (7% to 39%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Oswald Fiddlebender,"Oswald Fiddlebender climbed in the mainboard, 7/14 to 21/23 lists (50% to 91%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Portable Hole,"Portable Hole climbed in the mainboard, 8/14 to 21/23 lists (57% to 91%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Seachrome Coast,"Seachrome Coast climbed in the mainboard, 5/14 to 18/23 lists (36% to 78%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,side,Shadowspear,"Shadowspear climbed in the sideboard, 7/14 to 18/23 lists (50% to 78%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,side,Soul-Guide Lantern,"Soul-Guide Lantern climbed in the sideboard, 2/14 to 9/23 lists (14% to 39%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Sword of the Meek,"Sword of the Meek climbed in the mainboard, 1/14 to 7/23 lists (7% to 30%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,side,"Teferi, Time Raveler","Teferi, Time Raveler climbed in the sideboard, 1/14 to 15/23 lists (7% to 65%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,adoption,main,Thopter Foundry,"Thopter Foundry climbed in the mainboard, 1/14 to 7/23 lists (7% to 30%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,return,main,Vexing Bauble,"Vexing Bauble moves to the mainboard, 2 of 23 lists (9%)"
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,copies,main,Grinding Station,Grinding Station down from 2.2 to 1.3 copies on average
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,copies,main,Island,Island down from 2.1 to 1.6 copies on average
2026-07-27,2026-08-09,23,the fortnight to 2026-07-26,copies,main,Mox Amber,Mox Amber down from 3.8 to 3.3 copies on average
2026-08-10,2026-08-23,8,the fortnight to 2026-08-09,thin,,,"Too thin to read a move against the fortnight to 2026-08-09: 8 lists, the smaller of the two, where a row needs 10."
2026-08-24,2026-09-06,19,Spotlight Dallas,return,main,Isochron Scepter,"Isochron Scepter appears for the first time, 2 of 19 lists (11%)"
2026-08-24,2026-09-06,19,Spotlight Dallas,return,main,Orim's Chant,"Orim's Chant moves to the mainboard, 2 of 19 lists (11%)"
2026-08-24,2026-09-06,19,Spotlight Dallas,return,main,"Skrelv, Defector Mite","Skrelv, Defector Mite appears for the first time, 2 of 19 lists (11%)"
2026-08-24,2026-09-06,19,Spotlight Dallas,return,main,Spell Snare,"Spell Snare moves to the mainboard, 3 of 19 lists (16%)"
2026-08-24,2026-09-06,19,Spotlight Dallas,return,main,"Teferi, Time Raveler","Teferi, Time Raveler moves to the mainboard, 2 of 19 lists (11%)"
2026-08-24,2026-09-06,19,Spotlight Dallas,copies,main,Grinding Station,Grinding Station down from 2.2 to 1.4 copies on average
2026-08-24,2026-09-06,19,Spotlight Dallas,copies,main,Island,Island down from 2.2 to 1.8 copies on average
2026-08-24,2026-09-06,19,Spotlight Dallas,event,,,Spotlight Brisbane
2026-08-24,2026-09-06,19,Spotlight Dallas,event,,,Spotlight Dallas
