start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,61,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,side,"Beza, the Bounding Spring","Beza, the Bounding Spring moves to the sideboard, 13 of 53 lists (25%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,main,Blast Zone,"Blast Zone appears for the first time, 4 of 53 lists (8%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,adoption,side,Celestial Purge,"Celestial Purge climbed in the sideboard, 27/61 to 36/53 lists (44% to 68%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,main,Ensnaring Bridge,"Ensnaring Bridge moves to the mainboard, 2 of 53 lists (4%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,adoption,side,"Kaheera, the Orphanguard","Kaheera, the Orphanguard climbed in the sideboard, 23/61 to 31/53 lists (38% to 58%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,adoption,side,"Kataki, War's Wage","Kataki, War's Wage fell in the sideboard, 21/61 to 6/53 lists (34% to 11%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,side,Madcap Experiment,"Madcap Experiment appears for the first time, 3 of 53 lists (6%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,main,Monumental Henge,"Monumental Henge appears for the first time, 2 of 53 lists (4%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,side,Platinum Emperion,"Platinum Emperion appears for the first time, 3 of 53 lists (6%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,adoption,main,Reprieve,"Reprieve climbed in the mainboard, 17/61 to 31/53 lists (28% to 58%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,side,Surgical Extraction,"Surgical Extraction appears for the first time, 5 of 53 lists (9%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,side,The Wandering Emperor,"The Wandering Emperor moves to the sideboard, 4 of 53 lists (8%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,adoption,side,Vexing Bauble,"Vexing Bauble fell in the sideboard, 40/61 to 21/53 lists (66% to 40%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,adoption,main,White Orchid Phantom,"White Orchid Phantom fell in the mainboard, 36/61 to 17/53 lists (59% to 32%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,return,side,Wrath of God,"Wrath of God moves to the sideboard, 7 of 53 lists (13%)"
2026-06-01,2026-06-14,53,the fortnight to 2026-05-31,copies,main,Mountain,Mountain up from 1.3 to 1.7 copies on average
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,side,Ark of Hunger,"Ark of Hunger moves to the sideboard, 6 of 73 lists (8%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,main,Avengers Disassembled,"Avengers Disassembled appears for the first time, 19 of 73 lists (26%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,side,Avengers Disassembled,"Avengers Disassembled appears for the first time, 3 of 73 lists (4%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Celestial Purge,"Celestial Purge fell in the sideboard, 36/53 to 9/73 lists (68% to 12%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,main,"Chandra, Torch of Defiance","Chandra, Torch of Defiance fell in the mainboard, 16/53 to 7/73 lists (30% to 10%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Engineered Explosives,"Engineered Explosives climbed in the sideboard, 3/53 to 30/73 lists (6% to 41%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Ensnaring Bridge,"Ensnaring Bridge climbed in the sideboard, 0/53 to 41/73 lists (0% to 56%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,main,Isochron Scepter,"Isochron Scepter appears for the first time, 5 of 73 lists (7%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,"Kaheera, the Orphanguard","Kaheera, the Orphanguard climbed in the sideboard, 31/53 to 62/73 lists (58% to 85%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,main,"Karn, the Great Creator","Karn, the Great Creator climbed in the mainboard, 0/53 to 41/73 lists (0% to 56%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Liquimetal Coating,"Liquimetal Coating climbed in the sideboard, 0/53 to 41/73 lists (0% to 56%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,main,Mana Tithe,"Mana Tithe fell in the mainboard, 20/53 to 6/73 lists (38% to 8%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Orim's Chant,"Orim's Chant fell in the sideboard, 29/53 to 12/73 lists (55% to 16%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,side,Pithing Needle,"Pithing Needle appears for the first time, 38 of 73 lists (52%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Portable Hole,"Portable Hole climbed in the sideboard, 0/53 to 23/73 lists (0% to 32%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,side,Soulless Jailer,"Soulless Jailer appears for the first time, 35 of 73 lists (48%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,main,Sunbillow Verge,"Sunbillow Verge fell in the mainboard, 17/53 to 3/73 lists (32% to 4%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,main,Tablet of Discovery,"Tablet of Discovery appears for the first time, 3 of 73 lists (4%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,main,The Legend of Roku,"The Legend of Roku fell in the mainboard, 39/53 to 22/73 lists (74% to 30%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,The Stone Brain,"The Stone Brain climbed in the sideboard, 0/53 to 20/73 lists (0% to 27%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Tormod's Crypt,"Tormod's Crypt climbed in the sideboard, 0/53 to 41/73 lists (0% to 56%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,return,side,Trinisphere,"Trinisphere appears for the first time, 8 of 73 lists (11%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Vexing Bauble,"Vexing Bauble climbed in the sideboard, 21/53 to 47/73 lists (40% to 64%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,side,Wear/Tear,"Wear/Tear fell in the sideboard, 43/53 to 20/73 lists (81% to 27%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,adoption,main,White Orchid Phantom,"White Orchid Phantom fell in the mainboard, 17/53 to 8/73 lists (32% to 11%)"
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,copies,main,Path to Exile,Path to Exile down from 4.0 to 3.5 copies on average
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,copies,main,Plains,Plains down from 4.7 to 4.2 copies on average
2026-06-15,2026-06-28,73,the fortnight to 2026-06-14,copies,main,Sunken Citadel,Sunken Citadel up from 2.3 to 3.1 copies on average
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,main,Avengers Disassembled,"Avengers Disassembled climbed in the mainboard, 19/73 to 64/80 lists (26% to 80%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Calamity's Wake,"Calamity's Wake climbed in the sideboard, 0/73 to 21/80 lists (0% to 26%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Celestial Purge,"Celestial Purge climbed in the sideboard, 9/73 to 33/80 lists (12% to 41%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Deafening Silence,"Deafening Silence climbed in the sideboard, 2/73 to 29/80 lists (3% to 36%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Engineered Explosives,"Engineered Explosives fell in the sideboard, 30/73 to 13/80 lists (41% to 16%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Ensnaring Bridge,"Ensnaring Bridge fell in the sideboard, 41/73 to 23/80 lists (56% to 29%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,main,High Noon,"High Noon climbed in the mainboard, 5/73 to 39/80 lists (7% to 49%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,High Noon,"High Noon fell in the sideboard, 67/73 to 41/80 lists (92% to 51%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,main,"Karn, the Great Creator","Karn, the Great Creator fell in the mainboard, 41/73 to 23/80 lists (56% to 29%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Liquimetal Coating,"Liquimetal Coating fell in the sideboard, 41/73 to 23/80 lists (56% to 29%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,return,side,Lithomantic Barrage,"Lithomantic Barrage appears for the first time, 9 of 80 lists (11%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Pithing Needle,"Pithing Needle fell in the sideboard, 38/73 to 19/80 lists (52% to 24%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Portable Hole,"Portable Hole fell in the sideboard, 23/73 to 9/80 lists (32% to 11%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,main,Reprieve,"Reprieve fell in the mainboard, 53/73 to 34/80 lists (73% to 42%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Reprieve,"Reprieve climbed in the sideboard, 2/73 to 28/80 lists (3% to 35%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,return,main,Rest in Peace,"Rest in Peace moves to the mainboard, 29 of 80 lists (36%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Rest in Peace,"Rest in Peace fell in the sideboard, 62/73 to 41/80 lists (85% to 51%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Soulless Jailer,"Soulless Jailer fell in the sideboard, 35/73 to 15/80 lists (48% to 19%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,return,main,The Mind Stone,"The Mind Stone appears for the first time, 2 of 80 lists (2%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Tormod's Crypt,"Tormod's Crypt fell in the sideboard, 41/73 to 23/80 lists (56% to 29%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,return,main,Valakut Awakening,"Valakut Awakening appears for the first time, 25 of 80 lists (31%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,adoption,side,Wear/Tear,"Wear/Tear climbed in the sideboard, 20/73 to 46/80 lists (27% to 57%)"
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,copies,main,Cleansing Wildfire,Cleansing Wildfire down from 4.0 to 3.5 copies on average
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,copies,main,Galvanic Discharge,Galvanic Discharge down from 4.0 to 3.5 copies on average
2026-06-29,2026-07-12,80,the fortnight to 2026-06-28,copies,main,Sacred Foundry,Sacred Foundry down from 3.5 to 3.1 copies on average
2026-07-13,2026-07-26,43,Pro Tour Amsterdam,return,side,The Legend of Roku,"The Legend of Roku moves to the sideboard, 3 of 43 lists (7%)"
2026-07-13,2026-07-26,43,Pro Tour Amsterdam,copies,main,Path to Exile,Path to Exile up from 3.0 to 3.6 copies on average
2026-07-13,2026-07-26,43,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,27,the fortnight to 2026-07-26,adoption,side,Celestial Purge,"Celestial Purge fell in the sideboard, 24/43 to 5/27 lists (56% to 19%)"
2026-07-27,2026-08-09,27,the fortnight to 2026-07-26,adoption,side,Reprieve,"Reprieve fell in the sideboard, 13/43 to 2/27 lists (30% to 7%)"
2026-07-27,2026-08-09,27,the fortnight to 2026-07-26,adoption,main,Wrath of God,"Wrath of God fell in the mainboard, 24/43 to 7/27 lists (56% to 26%)"
2026-07-27,2026-08-09,27,the fortnight to 2026-07-26,adoption,side,"Beza, the Bounding Spring","Beza, the Bounding Spring fell in the sideboard, 12/43 to 0/27 lists (28% to 0%)"
2026-07-27,2026-08-09,27,the fortnight to 2026-07-26,adoption,main,Rustvale Bridge,"Rustvale Bridge fell in the mainboard, 10/43 to 0/27 lists (23% to 0%)"
2026-07-27,2026-08-09,27,the fortnight to 2026-07-26,copies,main,Avengers Disassembled,Avengers Disassembled up from 2.4 to 3.0 copies on average
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,side,Calamity's Wake,"Calamity's Wake fell in the sideboard, 9/27 to 1/28 lists (33% to 4%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,side,"Chandra, Awakened Inferno","Chandra, Awakened Inferno climbed in the sideboard, 11/27 to 19/28 lists (41% to 68%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,main,Galvanic Discharge,"Galvanic Discharge climbed in the mainboard, 20/27 to 27/28 lists (74% to 96%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,side,Orim's Chant,"Orim's Chant climbed in the sideboard, 11/27 to 20/28 lists (41% to 71%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,side,Rest in Peace,"Rest in Peace climbed in the sideboard, 19/27 to 26/28 lists (70% to 93%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,side,Surgical Extraction,"Surgical Extraction climbed in the sideboard, 15/27 to 23/28 lists (56% to 82%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,main,The Legend of Roku,"The Legend of Roku climbed in the mainboard, 17/27 to 25/28 lists (63% to 89%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,main,Wrath of God,"Wrath of God fell in the mainboard, 7/27 to 1/28 lists (26% to 4%)"
2026-08-10,2026-08-23,28,the fortnight to 2026-08-09,adoption,side,Wrath of God,"Wrath of God climbed in the sideboard, 14/27 to 23/28 lists (52% to 82%)"
2026-08-24,2026-09-06,73,Spotlight Dallas,return,side,Batterskull,"Batterskull appears for the first time, 3 of 73 lists (4%)"
