week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,23,11,288,0.03819444444444445,3,72,0.041666666666666664,7,12,434,0.027649769585253458
2026-05-25,38,16,352,0.045454545454545456,4,88,0.045454545454545456,10,22,479,0.04592901878914405
2026-06-01,26,7,384,0.018229166666666668,2,96,0.020833333333333332,2,19,511,0.03718199608610567
2026-06-08,27,6,384,0.015625,0,96,0.0,2,21,484,0.04338842975206612
2026-06-15,34,16,352,0.045454545454545456,6,88,0.06818181818181818,11,18,462,0.03896103896103896
2026-06-22,39,27,384,0.0703125,6,96,0.0625,12,12,393,0.030534351145038167
2026-06-29,41,17,352,0.048295454545454544,3,88,0.03409090909090909,5,24,428,0.056074766355140186
2026-07-06,39,26,416,0.0625,7,104,0.0673076923076923,14,13,418,0.03110047846889952
2026-07-13,22,12,448,0.026785714285714284,2,112,0.017857142857142856,6,10,410,0.024390243902439025
2026-07-20,21,13,512,0.025390625,6,128,0.046875,10,8,393,0.020356234096692113
2026-07-27,19,7,384,0.018229166666666668,2,96,0.020833333333333332,2,12,439,0.02733485193621868
2026-08-03,8,4,352,0.011363636363636364,0,88,0.0,2,4,380,0.010526315789473684
2026-08-10,16,8,416,0.019230769230769232,3,104,0.028846153846153848,3,8,404,0.019801980198019802
2026-08-17,12,6,384,0.015625,1,96,0.010416666666666666,2,6,386,0.015544041450777202
2026-08-24,27,17,480,0.035416666666666666,5,120,0.041666666666666664,13,10,379,0.026385224274406333
2026-08-31,46,32,448,0.07142857142857142,11,112,0.09821428571428571,15,14,378,0.037037037037037035
