start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,39,the fortnight to 2026-05-17,return,main,Shatterskull Smashing,"Shatterskull Smashing appears for the first time, 2 of 39 lists (5%)"
2026-06-01,2026-06-14,39,the fortnight to 2026-05-31,adoption,side,Brotherhood's End,"Brotherhood's End climbed in the sideboard, 15/39 to 26/39 lists (38% to 67%)"
2026-06-01,2026-06-14,39,the fortnight to 2026-05-31,adoption,side,Galvanic Relay,"Galvanic Relay climbed in the sideboard, 9/39 to 17/39 lists (23% to 44%)"
2026-06-01,2026-06-14,39,the fortnight to 2026-05-31,adoption,main,Strike It Rich,"Strike It Rich climbed in the mainboard, 5/39 to 14/39 lists (13% to 36%)"
2026-06-01,2026-06-14,39,the fortnight to 2026-05-31,copies,main,Arid Mesa,Arid Mesa down from 2.7 to 2.2 copies on average
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,side,Collective Resistance,"Collective Resistance appears for the first time, 3 of 66 lists (5%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,adoption,side,Fire Magic,"Fire Magic climbed in the sideboard, 6/39 to 28/66 lists (15% to 42%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,main,Flow State,"Flow State returns after 6 weeks away, 3 of 66 lists (5%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,adoption,main,Grapeshot,"Grapeshot fell in the mainboard, 38/39 to 50/66 lists (97% to 76%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,adoption,side,Grapeshot,"Grapeshot climbed in the sideboard, 1/39 to 16/66 lists (3% to 24%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,main,Great Hall of the Biblioplex,"Great Hall of the Biblioplex appears for the first time, 3 of 66 lists (5%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,main,Hex Magic,"Hex Magic appears for the first time, 34 of 66 lists (52%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,side,Pact of Negation,"Pact of Negation returns after 6 weeks away, 4 of 66 lists (6%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,main,Price of Freedom,"Price of Freedom returns after 18 weeks away, 3 of 66 lists (5%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,side,Return the Favor,"Return the Favor appears for the first time, 3 of 66 lists (5%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,main,Sink into Stupor,"Sink into Stupor returns after 16 weeks away, 3 of 66 lists (5%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,adoption,main,Steam Vents,"Steam Vents climbed in the mainboard, 1/39 to 16/66 lists (3% to 24%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,adoption,main,Strike It Rich,"Strike It Rich fell in the mainboard, 14/39 to 8/66 lists (36% to 12%)"
2026-06-15,2026-06-28,66,the fortnight to 2026-06-14,return,side,Weather the Storm,"Weather the Storm appears for the first time, 3 of 66 lists (5%)"
2026-06-29,2026-07-12,103,the fortnight to 2026-06-28,return,side,Blasphemous Act,"Blasphemous Act returns after 20 weeks away, 6 of 103 lists (6%)"
2026-06-29,2026-07-12,103,the fortnight to 2026-06-28,return,main,"Boseiju, Who Endures","Boseiju, Who Endures appears for the first time, 5 of 103 lists (5%)"
2026-06-29,2026-07-12,103,the fortnight to 2026-06-28,adoption,main,Glimpse the Impossible,"Glimpse the Impossible fell in the mainboard, 34/66 to 6/103 lists (52% to 6%)"
2026-06-29,2026-07-12,103,the fortnight to 2026-06-28,adoption,main,Hex Magic,"Hex Magic climbed in the mainboard, 34/66 to 102/103 lists (52% to 99%)"
2026-06-29,2026-07-12,103,the fortnight to 2026-06-28,return,side,Tempest of Light,"Tempest of Light appears for the first time, 3 of 103 lists (3%)"
2026-06-29,2026-07-12,103,the fortnight to 2026-06-28,adoption,side,Untimely Malfunction,"Untimely Malfunction climbed in the sideboard, 15/66 to 45/103 lists (23% to 44%)"
2026-07-13,2026-07-26,73,Pro Tour Amsterdam,adoption,main,Artist's Talent,"Artist's Talent climbed in the mainboard, 10/16 to 70/73 lists (62% to 96%)"
2026-07-13,2026-07-26,73,Pro Tour Amsterdam,return,side,Enchanted Evening,"Enchanted Evening appears for the first time, 3 of 73 lists (4%)"
2026-07-13,2026-07-26,73,Pro Tour Amsterdam,adoption,main,Sunbaked Canyon,"Sunbaked Canyon climbed in the mainboard, 5/16 to 51/73 lists (31% to 70%)"
2026-07-13,2026-07-26,73,Pro Tour Amsterdam,adoption,side,Wear/Tear,"Wear/Tear climbed in the sideboard, 0/16 to 63/73 lists (0% to 86%)"
2026-07-13,2026-07-26,73,Pro Tour Amsterdam,adoption,side,Wear,"Wear fell in the sideboard, 14/16 to 0/73 lists (88% to 0%)"
2026-07-13,2026-07-26,73,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,main,Grapeshot,"Grapeshot climbed in the mainboard, 51/73 to 31/32 lists (70% to 97%)"
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,side,Grapeshot,"Grapeshot fell in the sideboard, 22/73 to 1/32 lists (30% to 3%)"
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,side,Nature's Claim,"Nature's Claim climbed in the sideboard, 7/73 to 15/32 lists (10% to 47%)"
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,main,Sunbaked Canyon,"Sunbaked Canyon fell in the mainboard, 51/73 to 13/32 lists (70% to 41%)"
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,main,Thundering Falls,"Thundering Falls fell in the mainboard, 24/73 to 3/32 lists (33% to 9%)"
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,side,Veil of Summer,"Veil of Summer climbed in the sideboard, 5/73 to 13/32 lists (7% to 41%)"
2026-07-27,2026-08-09,32,the fortnight to 2026-07-26,adoption,side,Wear/Tear,"Wear/Tear fell in the sideboard, 63/73 to 16/32 lists (86% to 50%)"
2026-08-10,2026-08-23,42,the fortnight to 2026-08-09,adoption,side,Blood Moon,"Blood Moon climbed in the sideboard, 3/32 to 14/42 lists (9% to 33%)"
