week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,15,7,288,0.024305555555555556,2,72,0.027777777777777776,4,8,434,0.018433179723502304
2026-05-25,21,9,352,0.02556818181818182,2,88,0.022727272727272728,4,12,479,0.025052192066805846
2026-06-01,25,16,384,0.041666666666666664,4,96,0.041666666666666664,9,9,511,0.01761252446183953
2026-06-08,14,7,384,0.018229166666666668,1,96,0.010416666666666666,2,7,484,0.014462809917355372
2026-06-15,21,11,352,0.03125,0,88,0.0,8,10,462,0.021645021645021644
2026-06-22,45,28,384,0.07291666666666667,7,96,0.07291666666666667,13,17,393,0.043256997455470736
2026-06-29,62,25,352,0.07102272727272728,3,88,0.03409090909090909,13,37,428,0.08644859813084112
2026-07-06,41,31,416,0.07451923076923077,11,104,0.10576923076923077,17,10,418,0.023923444976076555
2026-07-13,38,18,448,0.04017857142857143,5,112,0.044642857142857144,10,20,410,0.04878048780487805
2026-07-20,35,17,512,0.033203125,7,128,0.0546875,8,18,393,0.04580152671755725
2026-07-27,17,11,384,0.028645833333333332,2,96,0.020833333333333332,4,6,439,0.01366742596810934
2026-08-03,15,9,352,0.02556818181818182,0,88,0.0,3,6,380,0.015789473684210527
2026-08-10,26,13,416,0.03125,2,104,0.019230769230769232,4,13,404,0.03217821782178218
2026-08-17,16,8,384,0.020833333333333332,2,96,0.020833333333333332,4,8,340,0.023529411764705882
2026-08-24,23,12,480,0.025,5,120,0.041666666666666664,7,11,348,0.031609195402298854
2026-08-31,35,22,448,0.049107142857142856,6,112,0.05357142857142857,12,13,378,0.03439153439153439
