start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,93,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,return,main,Cascading Cataracts,"Cascading Cataracts appears for the first time, 5 of 93 lists (5%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,adoption,main,Chalice of the Void,"Chalice of the Void climbed in the mainboard, 51/93 to 72/93 lists (55% to 77%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,return,side,Darksteel Citadel,"Darksteel Citadel appears for the first time, 13 of 93 lists (14%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,return,main,Disruptor Flute,"Disruptor Flute moves to the mainboard, 2 of 93 lists (2%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,return,main,"Golos, Tireless Pilgrim","Golos, Tireless Pilgrim appears for the first time, 5 of 93 lists (5%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,return,main,Grafdigger's Cage,"Grafdigger's Cage moves to the mainboard, 3 of 93 lists (3%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,adoption,side,"Kozilek, Butcher of Truth","Kozilek, Butcher of Truth fell in the sideboard, 23/93 to 4/93 lists (25% to 4%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,adoption,main,Sire of Seven Deaths,"Sire of Seven Deaths fell in the mainboard, 82/93 to 57/93 lists (88% to 61%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,return,main,Talisman of Dominance,"Talisman of Dominance appears for the first time, 2 of 93 lists (2%)"
2026-06-01,2026-06-14,93,the fortnight to 2026-05-31,adoption,main,"Ulamog, the Ceaseless Hunger","Ulamog, the Ceaseless Hunger fell in the mainboard, 48/93 to 23/93 lists (52% to 25%)"
2026-06-15,2026-06-28,102,the fortnight to 2026-06-14,return,main,Secluded Starforge,"Secluded Starforge appears for the first time, 2 of 102 lists (2%)"
2026-06-15,2026-06-28,102,the fortnight to 2026-06-14,adoption,main,Sire of Seven Deaths,"Sire of Seven Deaths fell in the mainboard, 57/93 to 42/102 lists (61% to 41%)"
2026-06-15,2026-06-28,102,the fortnight to 2026-06-14,adoption,side,"Skysovereign, Consul Flagship","Skysovereign, Consul Flagship climbed in the sideboard, 16/93 to 43/102 lists (17% to 42%)"
2026-06-15,2026-06-28,102,the fortnight to 2026-06-14,return,main,The Ten Rings,"The Ten Rings appears for the first time, 2 of 102 lists (2%)"
2026-06-15,2026-06-28,102,the fortnight to 2026-06-14,return,side,The Ten Rings,"The Ten Rings appears for the first time, 9 of 102 lists (9%)"
2026-06-29,2026-07-12,97,the fortnight to 2026-06-28,adoption,main,"Emrakul, the Promised End","Emrakul, the Promised End climbed in the mainboard, 48/102 to 72/97 lists (47% to 74%)"
2026-06-29,2026-07-12,97,the fortnight to 2026-06-28,return,main,Forsaken Monument,"Forsaken Monument moves to the mainboard, 2 of 97 lists (2%)"
2026-06-29,2026-07-12,97,the fortnight to 2026-06-28,return,side,"Krang, Utrom Warlord","Krang, Utrom Warlord appears for the first time, 5 of 97 lists (5%)"
2026-06-29,2026-07-12,97,the fortnight to 2026-06-28,adoption,side,The Ten Rings,"The Ten Rings climbed in the sideboard, 9/102 to 40/97 lists (9% to 41%)"
2026-06-29,2026-07-12,97,the fortnight to 2026-06-28,adoption,main,Trinisphere,"Trinisphere climbed in the mainboard, 41/102 to 73/97 lists (40% to 75%)"
2026-06-29,2026-07-12,97,the fortnight to 2026-06-28,adoption,side,Trinisphere,"Trinisphere fell in the sideboard, 51/102 to 24/97 lists (50% to 25%)"
2026-07-13,2026-07-26,89,Pro Tour Amsterdam,adoption,main,Abstergo Entertainment,"Abstergo Entertainment fell in the mainboard, 14/35 to 13/89 lists (40% to 15%)"
