week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,44,14,288,0.04861111111111111,2,72,0.027777777777777776,5,30,434,0.06912442396313365
2026-05-25,49,16,352,0.045454545454545456,1,88,0.011363636363636364,7,33,479,0.06889352818371608
2026-06-01,41,14,384,0.036458333333333336,1,96,0.010416666666666666,9,27,511,0.05283757338551859
2026-06-08,52,22,384,0.057291666666666664,4,96,0.041666666666666664,9,30,484,0.06198347107438017
2026-06-15,47,24,352,0.06818181818181818,8,88,0.09090909090909091,15,23,462,0.049783549783549784
2026-06-22,55,27,384,0.0703125,5,96,0.052083333333333336,15,28,393,0.07124681933842239
2026-06-29,44,24,352,0.06818181818181818,9,88,0.10227272727272728,16,20,428,0.04672897196261682
2026-07-06,53,24,416,0.057692307692307696,2,104,0.019230769230769232,11,29,418,0.06937799043062201
2026-07-13,49,26,448,0.05803571428571429,6,112,0.05357142857142857,15,23,410,0.05609756097560976
2026-07-20,40,28,512,0.0546875,10,128,0.078125,16,12,393,0.030534351145038167
2026-07-27,13,6,384,0.015625,1,96,0.010416666666666666,2,7,439,0.015945330296127564
2026-08-03,14,10,352,0.028409090909090908,4,88,0.045454545454545456,6,4,380,0.010526315789473684
2026-08-10,32,14,416,0.03365384615384615,5,104,0.04807692307692308,7,18,404,0.04455445544554455
2026-08-17,19,12,384,0.03125,4,96,0.041666666666666664,8,7,340,0.020588235294117647
2026-08-24,30,13,480,0.027083333333333334,2,120,0.016666666666666666,6,17,348,0.04885057471264368
2026-08-31,33,15,448,0.033482142857142856,2,112,0.017857142857142856,6,18,378,0.047619047619047616
