week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,48,14,288,0.04861111111111111,2,72,0.027777777777777776,5,34,434,0.07834101382488479
2026-05-25,51,17,352,0.048295454545454544,1,88,0.011363636363636364,8,34,479,0.0709812108559499
2026-06-01,44,14,384,0.036458333333333336,1,96,0.010416666666666666,9,30,511,0.05870841487279843
2026-06-08,57,23,384,0.059895833333333336,4,96,0.041666666666666664,9,34,484,0.07024793388429752
2026-06-15,52,26,352,0.07386363636363637,8,88,0.09090909090909091,15,26,462,0.05627705627705628
2026-06-22,58,28,384,0.07291666666666667,5,96,0.052083333333333336,15,30,393,0.07633587786259542
2026-06-29,46,24,352,0.06818181818181818,9,88,0.10227272727272728,16,22,428,0.0514018691588785
2026-07-06,60,26,416,0.0625,2,104,0.019230769230769232,11,34,418,0.08133971291866028
2026-07-13,51,27,448,0.060267857142857144,7,112,0.0625,16,24,410,0.05853658536585366
2026-07-20,44,29,512,0.056640625,10,128,0.078125,16,15,393,0.03816793893129771
2026-07-27,15,6,384,0.015625,1,96,0.010416666666666666,2,9,439,0.02050113895216401
2026-08-03,16,10,352,0.028409090909090908,4,88,0.045454545454545456,6,6,380,0.015789473684210527
2026-08-10,35,15,416,0.036057692307692304,5,104,0.04807692307692308,7,20,404,0.04950495049504951
2026-08-17,23,12,384,0.03125,4,96,0.041666666666666664,8,11,386,0.02849740932642487
2026-08-24,41,19,480,0.03958333333333333,3,120,0.025,11,22,379,0.05804749340369393
2026-08-31,44,18,448,0.04017857142857143,4,112,0.03571428571428571,9,26,378,0.06878306878306878
