start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,18,"no fortnight before it, the history opening on 2026-05-19",stable,,,
2026-06-01,2026-06-14,37,the fortnight to 2026-05-31,adoption,side,Balustrade Wurm,"Balustrade Wurm climbed in the sideboard, 0/18 to 8/37 lists (0% to 22%)"
2026-06-01,2026-06-14,37,the fortnight to 2026-05-31,adoption,main,"Ugin, Eye of the Storms","Ugin, Eye of the Storms climbed in the mainboard, 0/18 to 11/37 lists (0% to 30%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,main,Cavern of Souls,"Cavern of Souls appears for the first time, 6 of 14 lists (43%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,side,Chomping Changeling,"Chomping Changeling fell in the sideboard, 36/37 to 3/14 lists (97% to 21%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,side,Collector Ouphe,"Collector Ouphe fell in the sideboard, 37/37 to 10/14 lists (100% to 71%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,main,Elder Gargaroth,"Elder Gargaroth moves to the mainboard, 3 of 14 lists (21%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,main,"Emrakul, the Aeons Torn","Emrakul, the Aeons Torn appears for the first time, 3 of 14 lists (21%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,side,Endurance,"Endurance fell in the sideboard, 37/37 to 11/14 lists (100% to 79%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,side,Fade from History,"Fade from History fell in the sideboard, 37/37 to 9/14 lists (100% to 64%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,side,Fracturing Gust,"Fracturing Gust appears for the first time, 3 of 14 lists (21%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,main,Ghost Quarter,"Ghost Quarter fell in the mainboard, 36/37 to 6/14 lists (97% to 43%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,main,Shifting Woodland,"Shifting Woodland appears for the first time, 2 of 14 lists (14%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,main,Sire of Seven Deaths,"Sire of Seven Deaths climbed in the mainboard, 1/37 to 6/14 lists (3% to 43%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,side,Surgical Extraction,"Surgical Extraction appears for the first time, 6 of 14 lists (43%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,adoption,side,Thought-Knot Seer,"Thought-Knot Seer fell in the sideboard, 35/37 to 5/14 lists (95% to 36%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,return,main,"Ulamog, the Ceaseless Hunger","Ulamog, the Ceaseless Hunger appears for the first time, 2 of 14 lists (14%)"
2026-06-15,2026-06-28,14,the fortnight to 2026-06-14,copies,main,Forest,Forest down from 5.0 to 4.0 copies on average
2026-06-29,2026-07-12,5,the fortnight to 2026-06-28,thin,,,"Too thin to read a move against the fortnight to 2026-06-28: 5 lists, the smaller of the two, where a row needs 10."
2026-07-13,2026-07-26,100,Pro Tour Amsterdam,return,side,Sire of Seven Deaths,"Sire of Seven Deaths moves to the sideboard, 14 of 100 lists (14%)"
2026-07-13,2026-07-26,100,Pro Tour Amsterdam,event,,,Pro Tour Amsterdam
2026-07-27,2026-08-09,77,the fortnight to 2026-07-26,return,side,Six,"Six appears for the first time, 3 of 77 lists (4%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,adoption,side,Chalice of the Void,"Chalice of the Void fell in the sideboard, 74/77 to 33/47 lists (96% to 70%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,return,side,Cursed Totem,"Cursed Totem appears for the first time, 10 of 47 lists (21%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,adoption,side,Endurance,"Endurance fell in the sideboard, 69/77 to 24/47 lists (90% to 51%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,adoption,side,Grafdigger's Cage,"Grafdigger's Cage climbed in the sideboard, 0/77 to 20/47 lists (0% to 43%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,adoption,side,Six,"Six climbed in the sideboard, 3/77 to 13/47 lists (4% to 28%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,return,side,Torpor Orb,"Torpor Orb appears for the first time, 9 of 47 lists (19%)"
2026-08-10,2026-08-23,47,the fortnight to 2026-08-09,return,side,Warping Wail,"Warping Wail appears for the first time, 9 of 47 lists (19%)"
2026-08-24,2026-09-06,41,Spotlight Dallas,adoption,side,Collector Ouphe,"Collector Ouphe climbed in the sideboard, 8/38 to 19/41 lists (21% to 46%)"
2026-08-24,2026-09-06,41,Spotlight Dallas,adoption,main,Drowner of Truth,"Drowner of Truth fell in the mainboard, 34/38 to 28/41 lists (89% to 68%)"
2026-08-24,2026-09-06,41,Spotlight Dallas,event,,,Spotlight Brisbane
2026-08-24,2026-09-06,41,Spotlight Dallas,event,,,Spotlight Dallas
