week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,4,2,352,0.005681818181818182,2,88,0.022727272727272728,2,2,482,0.004149377593360996
2026-05-25,14,6,352,0.017045454545454544,3,88,0.03409090909090909,4,8,479,0.016701461377870562
2026-06-01,17,5,384,0.013020833333333334,3,96,0.03125,3,12,511,0.023483365949119372
2026-06-08,21,7,384,0.018229166666666668,2,96,0.020833333333333332,4,14,484,0.028925619834710745
2026-06-15,11,7,352,0.019886363636363636,2,88,0.022727272727272728,3,4,462,0.008658008658008658
2026-06-22,3,2,384,0.005208333333333333,0,96,0.0,1,1,393,0.002544529262086514
2026-06-29,1,0,352,0.0,0,88,0.0,0,1,428,0.002336448598130841
2026-07-06,4,0,416,0.0,0,104,0.0,0,4,418,0.009569377990430622
2026-07-13,30,14,448,0.03125,1,112,0.008928571428571428,6,16,410,0.03902439024390244
2026-07-20,70,32,512,0.0625,6,128,0.046875,17,38,393,0.09669211195928754
2026-07-27,47,20,384,0.052083333333333336,7,96,0.07291666666666667,13,27,439,0.06150341685649203
2026-08-03,30,14,352,0.03977272727272727,2,88,0.022727272727272728,5,16,380,0.042105263157894736
2026-08-10,25,7,416,0.016826923076923076,1,104,0.009615384615384616,2,18,404,0.04455445544554455
2026-08-17,21,12,384,0.03125,4,96,0.041666666666666664,9,9,340,0.026470588235294117
2026-08-24,16,8,480,0.016666666666666666,2,120,0.016666666666666666,4,8,348,0.022988505747126436
2026-08-31,24,12,448,0.026785714285714284,8,112,0.07142857142857142,8,12,378,0.031746031746031744
