start,end,lists,against,kind,zone,card,text
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,"Ajani, Nacatl Pariah","Ajani, Nacatl Pariah appears for the first time, 4 of 42 lists (10%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Breeding Pool,"Breeding Pool returns after 6 weeks away, 18 of 42 lists (43%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,side,Doorkeeper Thrull,"Doorkeeper Thrull moves to the sideboard, 10 of 42 lists (24%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,side,Drannith Magistrate,"Drannith Magistrate appears for the first time, 4 of 42 lists (10%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Forest,"Forest returns after 6 weeks away, 13 of 42 lists (31%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Galvanic Discharge,"Galvanic Discharge appears for the first time, 4 of 42 lists (10%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Goblin Bombardment,"Goblin Bombardment appears for the first time, 4 of 42 lists (10%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Guide of Souls,"Guide of Souls appears for the first time, 4 of 42 lists (10%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Nishoba Brawler,"Nishoba Brawler returns after 16 weeks away, 19 of 42 lists (45%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Ocelot Pride,"Ocelot Pride appears for the first time, 4 of 42 lists (10%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Overgrown Tomb,"Overgrown Tomb returns after 12 weeks away, 2 of 42 lists (5%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,"Phelia, Exuberant Shepherd","Phelia, Exuberant Shepherd returns after 10 weeks away, 16 of 42 lists (38%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,side,Rest in Peace,"Rest in Peace returns after 6 weeks away, 12 of 42 lists (29%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,side,Static Prison,"Static Prison appears for the first time, 3 of 42 lists (7%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Wild Nacatl,"Wild Nacatl returns after 6 weeks away, 20 of 42 lists (48%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Windswept Heath,"Windswept Heath returns after 10 weeks away, 5 of 42 lists (12%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Xander's Lounge,"Xander's Lounge returns after 6 weeks away, 5 of 42 lists (12%)"
2026-05-18,2026-05-31,42,the fortnight to 2026-05-17,return,main,Zagoth Triome,"Zagoth Triome appears for the first time, 2 of 42 lists (5%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Arid Mesa,"Arid Mesa fell in the mainboard, 41/42 to 20/34 lists (98% to 59%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Blood Crypt,"Blood Crypt fell in the mainboard, 25/42 to 12/34 lists (60% to 35%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Bloodstained Mire,"Bloodstained Mire appears for the first time, 13 of 34 lists (38%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Breeding Pool,"Breeding Pool fell in the mainboard, 18/42 to 6/34 lists (43% to 18%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,side,Brotherhood's End,"Brotherhood's End returns after 12 weeks away, 3 of 34 lists (9%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Clarion Conqueror,"Clarion Conqueror moves to the mainboard, 2 of 34 lists (6%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,side,Containment Priest,"Containment Priest returns after 10 weeks away, 3 of 34 lists (9%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Dead/Gone,"Dead/Gone returns after 8 weeks away, 2 of 34 lists (6%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Doorkeeper Thrull,"Doorkeeper Thrull climbed in the mainboard, 1/42 to 11/34 lists (2% to 32%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Elegant Parlor,"Elegant Parlor climbed in the mainboard, 1/42 to 13/34 lists (2% to 38%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Fable of the Mirror-Breaker,"Fable of the Mirror-Breaker climbed in the mainboard, 2/42 to 11/34 lists (5% to 32%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Fatal Push,"Fatal Push appears for the first time, 8 of 34 lists (24%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Flooded Strand,"Flooded Strand fell in the mainboard, 38/42 to 20/34 lists (90% to 59%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Hedge Maze,"Hedge Maze appears for the first time, 2 of 34 lists (6%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Indatha Triome,"Indatha Triome fell in the mainboard, 37/42 to 20/34 lists (88% to 59%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Jetmir's Garden,"Jetmir's Garden appears for the first time, 2 of 34 lists (6%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,"Kroxa, Titan of Death's Hunger","Kroxa, Titan of Death's Hunger appears for the first time, 11 of 34 lists (32%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,"Laelia, the Blade Reforged","Laelia, the Blade Reforged appears for the first time, 2 of 34 lists (6%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Marsh Flats,"Marsh Flats returns after 6 weeks away, 10 of 34 lists (29%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Nishoba Brawler,"Nishoba Brawler fell in the mainboard, 19/42 to 6/34 lists (45% to 18%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Overgrown Tomb,"Overgrown Tomb climbed in the mainboard, 2/42 to 14/34 lists (5% to 41%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Stubborn Denial,"Stubborn Denial fell in the mainboard, 37/42 to 20/34 lists (88% to 59%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Swamp,"Swamp appears for the first time, 8 of 34 lists (24%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,"Teferi, Time Raveler","Teferi, Time Raveler fell in the mainboard, 25/42 to 13/34 lists (60% to 38%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Temple Garden,"Temple Garden fell in the mainboard, 42/42 to 22/34 lists (100% to 65%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Thundering Falls,"Thundering Falls fell in the mainboard, 36/42 to 18/34 lists (86% to 53%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Tribal Flames,"Tribal Flames fell in the mainboard, 20/42 to 8/34 lists (48% to 24%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,return,main,Watery Grave,"Watery Grave returns after 8 weeks away, 2 of 34 lists (6%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Wild Nacatl,"Wild Nacatl fell in the mainboard, 20/42 to 7/34 lists (48% to 21%)"
2026-06-01,2026-06-14,34,the fortnight to 2026-05-31,adoption,main,Zagoth Triome,"Zagoth Triome climbed in the mainboard, 2/42 to 12/34 lists (5% to 35%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Arid Mesa,"Arid Mesa climbed in the mainboard, 20/34 to 30/31 lists (59% to 97%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Blood Crypt,"Blood Crypt climbed in the mainboard, 12/34 to 26/31 lists (35% to 84%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Bloodstained Mire,"Bloodstained Mire fell in the mainboard, 13/34 to 1/31 lists (38% to 3%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,side,Brotherhood's End,"Brotherhood's End climbed in the sideboard, 3/34 to 19/31 lists (9% to 61%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Consign to Memory,"Consign to Memory climbed in the mainboard, 20/34 to 26/31 lists (59% to 84%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Elegant Parlor,"Elegant Parlor fell in the mainboard, 13/34 to 1/31 lists (38% to 3%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Fatal Push,"Fatal Push fell in the mainboard, 8/34 to 1/31 lists (24% to 3%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Flooded Strand,"Flooded Strand climbed in the mainboard, 20/34 to 29/31 lists (59% to 94%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Godless Shrine,"Godless Shrine fell in the mainboard, 19/34 to 7/31 lists (56% to 23%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,side,High Noon,"High Noon climbed in the sideboard, 19/34 to 30/31 lists (56% to 97%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Indatha Triome,"Indatha Triome climbed in the mainboard, 20/34 to 30/31 lists (59% to 97%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Lush Portico,"Lush Portico climbed in the mainboard, 9/34 to 23/31 lists (26% to 74%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Marsh Flats,"Marsh Flats fell in the mainboard, 10/34 to 1/31 lists (29% to 3%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,side,Nihil Spellbomb,"Nihil Spellbomb fell in the sideboard, 15/34 to 5/31 lists (44% to 16%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,side,Obsidian Charmaw,"Obsidian Charmaw climbed in the sideboard, 25/34 to 30/31 lists (74% to 97%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Overgrown Tomb,"Overgrown Tomb fell in the mainboard, 14/34 to 1/31 lists (41% to 3%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,return,main,Pest Control,"Pest Control moves to the mainboard, 3 of 31 lists (10%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,"Phelia, Exuberant Shepherd","Phelia, Exuberant Shepherd climbed in the mainboard, 9/34 to 23/31 lists (26% to 74%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Plains,"Plains climbed in the mainboard, 21/34 to 29/31 lists (62% to 94%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,side,Pyroclasm,"Pyroclasm climbed in the sideboard, 5/34 to 18/31 lists (15% to 58%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,main,Quantum Riddler,"Quantum Riddler climbed in the mainboard, 12/34 to 23/31 lists (35% to 74%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,return,main,Raucous Theater,"Raucous Theater returns after 8 weeks away, 5 of 31 lists (16%)"
2026-06-15,2026-06-28,31,the fortnight to 2026-06-14,adoption,side,Rest in Peace,"Rest in Peace climbed in the sideboard, 7/34 to 22/31 lists (21% to 71%)"
