week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,22,11,288,0.03819444444444445,4,72,0.05555555555555555,7,11,434,0.02534562211981567
2026-05-25,20,7,352,0.019886363636363636,2,88,0.022727272727272728,3,13,479,0.027139874739039668
2026-06-01,18,6,384,0.015625,2,96,0.020833333333333332,3,12,511,0.023483365949119372
2026-06-08,14,6,384,0.015625,1,96,0.010416666666666666,4,8,484,0.01652892561983471
2026-06-15,19,7,352,0.019886363636363636,3,88,0.03409090909090909,5,12,462,0.025974025974025976
2026-06-22,17,9,384,0.0234375,1,96,0.010416666666666666,4,8,393,0.020356234096692113
2026-06-29,13,7,352,0.019886363636363636,1,88,0.011363636363636364,1,6,428,0.014018691588785047
2026-07-06,18,7,416,0.016826923076923076,3,104,0.028846153846153848,6,11,418,0.02631578947368421
2026-07-13,25,9,448,0.020089285714285716,4,112,0.03571428571428571,6,16,410,0.03902439024390244
2026-07-20,34,25,512,0.048828125,7,128,0.0546875,10,9,393,0.022900763358778626
2026-07-27,19,12,384,0.03125,4,96,0.041666666666666664,9,7,439,0.015945330296127564
2026-08-03,20,11,352,0.03125,2,88,0.022727272727272728,4,9,380,0.02368421052631579
2026-08-10,14,7,416,0.016826923076923076,3,104,0.028846153846153848,4,7,407,0.0171990171990172
2026-08-17,12,10,384,0.026041666666666668,2,96,0.020833333333333332,4,2,386,0.0051813471502590676
2026-08-24,22,13,480,0.027083333333333334,4,120,0.03333333333333333,6,9,379,0.023746701846965697
2026-08-31,20,9,448,0.020089285714285716,2,112,0.017857142857142856,5,11,378,0.0291005291005291
2026-09-07,18,9,412,0.021844660194174758,2,104,0.019230769230769232,4,9,418,0.0215311004784689
